	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/医疗保险.html (CRC)_ad1_N	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/医疗保险.html (CRC)_ad1_Mean	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/医疗保险.html (CRC)_ad1_Sum	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/医疗保险.html (CRC)_ad2_N	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/医疗保险.html (CRC)_ad2_Mean	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/医疗保险.html (CRC)_ad2_Sum	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/医疗保险.html (CRC)_ad3_N	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/医疗保险.html (CRC)_ad3_Mean	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/医疗保险.html (CRC)_ad3_Sum	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/医疗保险.html (CRC)_ad4_N	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/医疗保险.html (CRC)_ad4_Mean	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/医疗保险.html (CRC)_ad4_Sum	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/医疗保险.html (CRC)_ad5_N	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/医疗保险.html (CRC)_ad5_Mean	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/医疗保险.html (CRC)_ad5_Sum	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/医疗保险.html (CRC)_an1_N	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/医疗保险.html (CRC)_an1_Mean	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/医疗保险.html (CRC)_an1_Sum	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/医疗保险.html (CRC)_an2_N	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/医疗保险.html (CRC)_an2_Mean	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/医疗保险.html (CRC)_an2_Sum	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/医疗保险.html (CRC)_an3_N	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/医疗保险.html (CRC)_an3_Mean	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/医疗保险.html (CRC)_an3_Sum	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/医疗保险.html (CRC)_an4_N	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/医疗保险.html (CRC)_an4_Mean	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/医疗保险.html (CRC)_an4_Sum	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/医疗保险.html (CRC)_an5_N	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/医疗保险.html (CRC)_an5_Mean	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/医疗保险.html (CRC)_an5_Sum	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/医疗保险.html (CRC)_an6_N	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/医疗保险.html (CRC)_an6_Mean	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/医疗保险.html (CRC)_an6_Sum	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/医疗保险.html (CRC)_ad1_N	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/医疗保险.html (CRC)_ad1_Mean	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/医疗保险.html (CRC)_ad1_Sum	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/医疗保险.html (CRC)_ad2_N	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/医疗保险.html (CRC)_ad2_Mean	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/医疗保险.html (CRC)_ad2_Sum	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/医疗保险.html (CRC)_ad3_N	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/医疗保险.html (CRC)_ad3_Mean	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/医疗保险.html (CRC)_ad3_Sum	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/医疗保险.html (CRC)_ad4_N	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/医疗保险.html (CRC)_ad4_Mean	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/医疗保险.html (CRC)_ad4_Sum	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/医疗保险.html (CRC)_ad5_N	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/医疗保险.html (CRC)_ad5_Mean	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/医疗保险.html (CRC)_ad5_Sum	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/医疗保险.html (CRC)_an1_N	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/医疗保险.html (CRC)_an1_Mean	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/医疗保险.html (CRC)_an1_Sum	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/医疗保险.html (CRC)_an2_N	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/医疗保险.html (CRC)_an2_Mean	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/医疗保险.html (CRC)_an2_Sum	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/医疗保险.html (CRC)_an3_N	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/医疗保险.html (CRC)_an3_Mean	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/医疗保险.html (CRC)_an3_Sum	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/医疗保险.html (CRC)_an4_N	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/医疗保险.html (CRC)_an4_Mean	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/医疗保险.html (CRC)_an4_Sum	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/医疗保险.html (CRC)_an5_N	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/医疗保险.html (CRC)_an5_Mean	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/医疗保险.html (CRC)_an5_Sum	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/医疗保险.html (CRC)_an6_N	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/医疗保险.html (CRC)_an6_Mean	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/医疗保险.html (CRC)_an6_Sum	Fixation Count (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/医疗保险.html (CRC)_ad1_N	Fixation Count (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/医疗保险.html (CRC)_ad1_Mean	Fixation Count (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/医疗保险.html (CRC)_ad1_Sum	Fixation Count (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/医疗保险.html (CRC)_ad2_N	Fixation Count (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/医疗保险.html (CRC)_ad2_Mean	Fixation Count (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/医疗保险.html (CRC)_ad2_Sum	Fixation Count (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/医疗保险.html (CRC)_ad3_N	Fixation Count (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/医疗保险.html (CRC)_ad3_Mean	Fixation Count (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/医疗保险.html (CRC)_ad3_Sum	Fixation Count (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/医疗保险.html (CRC)_ad4_N	Fixation Count (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/医疗保险.html (CRC)_ad4_Mean	Fixation Count (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/医疗保险.html (CRC)_ad4_Sum	Fixation Count (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/医疗保险.html (CRC)_ad5_N	Fixation Count (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/医疗保险.html (CRC)_ad5_Mean	Fixation Count (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/医疗保险.html (CRC)_ad5_Sum	Fixation Count (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/医疗保险.html (CRC)_an1_N	Fixation Count (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/医疗保险.html (CRC)_an1_Mean	Fixation Count (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/医疗保险.html (CRC)_an1_Sum	Fixation Count (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/医疗保险.html (CRC)_an2_N	Fixation Count (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/医疗保险.html (CRC)_an2_Mean	Fixation Count (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/医疗保险.html (CRC)_an2_Sum	Fixation Count (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/医疗保险.html (CRC)_an3_N	Fixation Count (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/医疗保险.html (CRC)_an3_Mean	Fixation Count (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/医疗保险.html (CRC)_an3_Sum	Fixation Count (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/医疗保险.html (CRC)_an4_N	Fixation Count (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/医疗保险.html (CRC)_an4_Mean	Fixation Count (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/医疗保险.html (CRC)_an4_Sum	Fixation Count (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/医疗保险.html (CRC)_an5_N	Fixation Count (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/医疗保险.html (CRC)_an5_Mean	Fixation Count (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/医疗保险.html (CRC)_an5_Sum	Fixation Count (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/医疗保险.html (CRC)_an6_N	Fixation Count (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/医疗保险.html (CRC)_an6_Mean	Fixation Count (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/医疗保险.html (CRC)_an6_Sum
Rec 02	-	-	-	1	0.234	0.234	1	1.234	1.234	1	3.484	3.484	-	-	-	-	-	-	1	1.817	1.817	1	2.484	2.484	1	2.292	2.292	1	3.034	3.034	1	3.159	3.159	1	0.000	0.000	1	0.808	0.808	1	0.233	0.233	1	0.433	0.433	1	0.000	0.000	1	0.000	0.000	1	0.117	0.117	1	0.083	0.083	1	0.150	0.150	1	0.358	0.358	1	0.608	0.608	1	0.000	0.000	1	4.000	4.000	1	2.000	2.000	1	3.000	3.000	1	0.000	0.000	1	0.000	0.000	1	1.000	1.000	1	1.000	1.000	1	2.000	2.000	1	3.000	3.000	1	5.000	5.000
Rec 03	1	1.381	1.381	1	0.273	0.273	1	3.823	3.823	1	10.605	10.605	1	4.531	4.531	1	5.056	5.056	1	5.656	5.656	1	7.114	7.114	1	7.372	7.372	1	8.556	8.556	1	8.872	8.872	1	0.525	0.525	1	1.425	1.425	1	0.508	0.508	1	1.566	1.566	1	0.208	0.208	1	1.033	1.033	1	0.592	0.592	1	0.208	0.208	1	0.950	0.950	1	0.183	0.183	1	1.575	1.575	1	3.000	3.000	1	8.000	8.000	1	3.000	3.000	1	8.000	8.000	1	1.000	1.000	1	4.000	4.000	1	4.000	4.000	1	1.000	1.000	1	6.000	6.000	1	1.000	1.000	1	6.000	6.000
Rec 04	1	1.603	1.603	1	0.437	0.437	1	0.712	0.712	1	10.636	10.636	1	1.045	1.045	1	3.837	3.837	1	4.328	4.328	1	5.128	5.128	1	5.778	5.778	1	6.669	6.669	1	7.044	7.044	1	0.242	0.242	1	0.642	0.642	1	0.617	0.617	1	0.550	0.550	1	0.167	0.167	1	0.383	0.383	1	1.375	1.375	1	0.858	0.858	1	1.553	1.553	1	0.117	0.117	1	3.383	3.383	1	2.000	2.000	1	5.000	5.000	1	3.000	3.000	1	4.000	4.000	1	1.000	1.000	1	2.000	2.000	1	8.000	8.000	1	5.000	5.000	1	10.000	10.000	1	1.000	1.000	1	16.000	16.000
Rec 05	1	0.825	0.825	1	0.416	0.416	1	1.075	1.075	1	4.907	4.907	1	1.683	1.683	1	1.366	1.366	1	2.899	2.899	1	2.774	2.774	1	3.116	3.116	1	3.424	3.424	1	3.658	3.658	1	0.142	0.142	1	0.317	0.317	1	0.250	0.250	1	0.142	0.142	1	0.333	0.333	1	0.167	0.167	1	0.175	0.175	1	0.092	0.092	1	0.212	0.212	1	0.175	0.175	1	1.492	1.492	1	1.000	1.000	1	2.000	2.000	1	2.000	2.000	1	1.000	1.000	1	3.000	3.000	1	1.000	1.000	1	1.000	1.000	1	1.000	1.000	1	2.000	2.000	1	1.000	1.000	1	7.000	7.000
Rec 06	-	-	-	1	0.420	0.420	1	0.945	0.945	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	2.637	2.637	1	2.853	2.853	1	3.803	3.803	1	0.000	0.000	1	0.283	0.283	1	0.458	0.458	1	0.000	0.000	1	0.000	0.000	1	0.000	0.000	1	0.000	0.000	1	0.000	0.000	1	0.097	0.097	1	0.650	0.650	1	1.633	1.633	1	0.000	0.000	1	3.000	3.000	1	2.000	2.000	1	0.000	0.000	1	0.000	0.000	1	0.000	0.000	1	0.000	0.000	1	0.000	0.000	1	2.000	2.000	1	5.000	5.000	1	12.000	12.000
Rec 07	1	0.815	0.815	1	1.548	1.548	1	1.989	1.989	1	10.047	10.047	1	4.214	4.214	1	3.031	3.031	1	3.189	3.189	1	3.523	3.523	1	6.397	6.397	1	7.180	7.180	1	7.355	7.355	1	0.575	0.575	1	0.334	0.334	1	0.267	0.267	1	1.200	1.200	1	1.109	1.109	1	0.125	0.125	1	0.292	0.292	1	0.542	0.542	1	0.518	0.518	1	0.983	0.983	1	3.116	3.116	1	3.000	3.000	1	3.000	3.000	1	1.000	1.000	1	6.000	6.000	1	9.000	9.000	1	1.000	1.000	1	1.000	1.000	1	3.000	3.000	1	4.000	4.000	1	5.000	5.000	1	16.000	16.000
Rec 08	1	0.835	0.835	1	0.460	0.460	1	0.277	0.277	1	23.833	23.833	1	11.617	11.617	1	5.326	5.326	1	8.868	8.868	1	10.426	10.426	1	15.017	15.017	1	16.258	16.258	1	21.325	21.325	1	0.975	0.975	1	1.833	1.833	1	1.400	1.400	1	1.533	1.533	1	0.975	0.975	1	2.750	2.750	1	0.958	0.958	1	0.741	0.741	1	1.300	1.300	1	4.033	4.033	1	5.357	5.357	1	4.000	4.000	1	12.000	12.000	1	9.000	9.000	1	8.000	8.000	1	6.000	6.000	1	13.000	13.000	1	6.000	6.000	1	5.000	5.000	1	6.000	6.000	1	25.000	25.000	1	32.000	32.000
Rec 09	1	0.760	0.760	1	0.226	0.226	1	2.351	2.351	1	9.025	9.025	1	3.476	3.476	-	-	-	1	5.209	5.209	1	4.926	4.926	1	4.576	4.576	1	5.992	5.992	1	6.459	6.459	1	0.442	0.442	1	0.633	0.633	1	0.242	0.242	1	1.206	1.206	1	0.208	0.208	1	0.000	0.000	1	0.133	0.133	1	0.242	0.242	1	0.242	0.242	1	0.433	0.433	1	2.325	2.325	1	3.000	3.000	1	3.000	3.000	1	2.000	2.000	1	6.000	6.000	1	2.000	2.000	1	0.000	0.000	1	1.000	1.000	1	1.000	1.000	1	3.000	3.000	1	3.000	3.000	1	11.000	11.000
Rec 10	1	0.851	0.851	1	0.151	0.151	1	3.359	3.359	1	9.647	9.647	-	-	-	1	3.634	3.634	1	5.089	5.089	1	6.780	6.780	1	7.155	7.155	1	7.497	7.497	1	8.572	8.572	1	0.792	0.792	1	0.308	0.308	1	0.250	0.250	1	0.125	0.125	1	0.000	0.000	1	0.542	0.542	1	0.275	0.275	1	0.308	0.308	1	0.167	0.167	1	0.258	0.258	1	0.875	0.875	1	3.000	3.000	1	3.000	3.000	1	2.000	2.000	1	1.000	1.000	1	0.000	0.000	1	5.000	5.000	1	1.000	1.000	1	2.000	2.000	1	1.000	1.000	1	2.000	2.000	1	6.000	6.000
Rec 11	1	0.581	0.581	1	5.197	5.197	1	6.097	6.097	1	15.129	15.129	1	0.981	0.981	1	6.955	6.955	1	7.355	7.355	1	9.555	9.555	1	10.446	10.446	1	11.396	11.396	1	12.596	12.596	1	1.691	1.691	1	0.675	0.675	1	0.666	0.666	1	3.092	3.092	1	0.800	0.800	1	1.109	1.109	1	0.850	0.850	1	0.675	0.675	1	0.775	0.775	1	1.117	1.117	1	3.433	3.433	1	7.000	7.000	1	5.000	5.000	1	5.000	5.000	1	17.000	17.000	1	7.000	7.000	1	7.000	7.000	1	6.000	6.000	1	4.000	4.000	1	3.000	3.000	1	6.000	6.000	1	19.000	19.000
Rec 12	1	0.490	0.490	1	0.174	0.174	1	2.115	2.115	1	7.390	7.390	1	9.856	9.856	1	2.532	2.532	1	2.882	2.882	1	3.948	3.948	1	4.432	4.432	1	4.948	4.948	1	5.490	5.490	1	0.642	0.642	1	0.758	0.758	1	0.217	0.217	1	0.892	0.892	1	0.108	0.108	1	0.158	0.158	1	0.617	0.617	1	0.375	0.375	1	0.383	0.383	1	0.367	0.367	1	2.433	2.433	1	3.000	3.000	1	5.000	5.000	1	1.000	1.000	1	5.000	5.000	1	1.000	1.000	1	1.000	1.000	1	4.000	4.000	1	2.000	2.000	1	3.000	3.000	1	3.000	3.000	1	11.000	11.000
Rec 13	1	0.992	0.992	1	0.317	0.317	1	4.933	4.933	1	13.957	13.957	1	2.433	2.433	1	4.533	4.533	1	5.508	5.508	1	6.383	6.383	1	9.407	9.407	1	10.624	10.624	1	11.599	11.599	1	0.067	0.067	1	1.350	1.350	1	0.283	0.283	1	0.733	0.733	1	0.750	0.750	1	0.458	0.458	1	1.833	1.833	1	0.650	0.650	1	0.742	0.742	1	0.791	0.791	1	2.764	2.764	1	1.000	1.000	1	9.000	9.000	1	2.000	2.000	1	6.000	6.000	1	5.000	5.000	1	3.000	3.000	1	11.000	11.000	1	5.000	5.000	1	6.000	6.000	1	4.000	4.000	1	14.000	14.000
Rec 14	1	0.693	0.693	1	0.410	0.410	1	1.093	1.093	1	6.476	6.476	1	3.318	3.318	1	0.968	0.968	1	2.060	2.060	1	5.059	5.059	1	5.251	5.251	1	5.918	5.918	1	6.284	6.284	1	1.516	1.516	1	0.217	0.217	1	0.192	0.192	1	0.158	0.158	1	0.275	0.275	1	0.583	0.583	1	0.375	0.375	1	0.125	0.125	1	0.533	0.533	1	0.325	0.325	1	2.400	2.400	1	8.000	8.000	1	2.000	2.000	1	1.000	1.000	1	1.000	1.000	1	1.000	1.000	1	3.000	3.000	1	2.000	2.000	1	1.000	1.000	1	3.000	3.000	1	1.000	1.000	1	10.000	10.000
Rec 15	1	1.095	1.095	1	0.220	0.220	1	2.978	2.978	-	-	-	1	11.435	11.435	1	4.161	4.161	1	4.411	4.411	1	4.703	4.703	-	-	-	1	5.070	5.070	1	5.611	5.611	1	0.677	0.677	1	0.725	0.725	1	0.550	0.550	1	0.000	0.000	1	0.292	0.292	1	0.225	0.225	1	0.258	0.258	1	0.492	0.492	1	0.000	0.000	1	0.658	0.658	1	3.425	3.425	1	6.000	6.000	1	5.000	5.000	1	3.000	3.000	1	0.000	0.000	1	1.000	1.000	1	1.000	1.000	1	1.000	1.000	1	2.000	2.000	1	0.000	0.000	1	3.000	3.000	1	19.000	19.000
Rec 16	1	0.421	0.421	1	2.713	2.713	1	7.712	7.712	1	17.186	17.186	1	4.246	4.246	1	9.120	9.120	1	10.912	10.912	1	11.404	11.404	1	12.378	12.378	1	16.053	16.053	1	13.978	13.978	1	1.641	1.641	1	2.100	2.100	1	0.550	0.550	1	1.175	1.175	1	1.691	1.691	1	0.150	0.150	1	0.450	0.450	1	0.817	0.817	1	1.358	1.358	1	0.450	0.450	1	2.175	2.175	1	9.000	9.000	1	10.000	10.000	1	3.000	3.000	1	5.000	5.000	1	8.000	8.000	1	1.000	1.000	1	2.000	2.000	1	4.000	4.000	1	7.000	7.000	1	2.000	2.000	1	10.000	10.000
Rec 17	1	0.530	0.530	1	0.280	0.280	1	2.213	2.213	1	10.229	10.229	-	-	-	1	2.713	2.713	1	3.788	3.788	1	4.313	4.313	1	5.021	5.021	1	6.221	6.221	1	7.188	7.188	1	0.875	0.875	1	0.717	0.717	1	0.433	0.433	1	0.192	0.192	1	0.000	0.000	1	0.908	0.908	1	0.442	0.442	1	0.625	0.625	1	0.925	0.925	1	0.775	0.775	1	2.541	2.541	1	4.000	4.000	1	4.000	4.000	1	2.000	2.000	1	1.000	1.000	1	0.000	0.000	1	3.000	3.000	1	2.000	2.000	1	2.000	2.000	1	5.000	5.000	1	4.000	4.000	1	11.000	11.000
Rec 18	1	0.374	0.374	1	0.599	0.599	1	1.890	1.890	1	10.181	10.181	-	-	-	1	4.115	4.115	1	4.507	4.507	1	4.890	4.890	1	6.190	6.190	1	8.664	8.664	1	9.464	9.464	1	0.633	0.633	1	1.283	1.283	1	0.658	0.658	1	0.783	0.783	1	0.000	0.000	1	0.833	0.833	1	0.508	0.508	1	1.117	1.117	1	1.050	1.050	1	0.600	0.600	1	3.916	3.916	1	3.000	3.000	1	10.000	10.000	1	3.000	3.000	1	5.000	5.000	1	0.000	0.000	1	5.000	5.000	1	4.000	4.000	1	7.000	7.000	1	7.000	7.000	1	3.000	3.000	1	24.000	24.000
