	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_ad1_N	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_ad1_Mean	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_ad1_Sum	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_ad2_N	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_ad2_Mean	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_ad2_Sum	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_ad3_N	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_ad3_Mean	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_ad3_Sum	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_ad4_N	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_ad4_Mean	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_ad4_Sum	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_ad5_N	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_ad5_Mean	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_ad5_Sum	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_an1_N	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_an1_Mean	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_an1_Sum	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_an2_N	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_an2_Mean	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_an2_Sum	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_an3_N	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_an3_Mean	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_an3_Sum	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_an4_N	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_an4_Mean	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_an4_Sum	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_an5_N	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_an5_Mean	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_an5_Sum	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_an6_N	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_an6_Mean	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_an6_Sum	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_ad1_N	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_ad1_Mean	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_ad1_Sum	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_ad2_N	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_ad2_Mean	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_ad2_Sum	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_ad3_N	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_ad3_Mean	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_ad3_Sum	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_ad4_N	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_ad4_Mean	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_ad4_Sum	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_ad5_N	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_ad5_Mean	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_ad5_Sum	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_an1_N	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_an1_Mean	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_an1_Sum	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_an2_N	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_an2_Mean	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_an2_Sum	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_an3_N	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_an3_Mean	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_an3_Sum	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_an4_N	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_an4_Mean	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_an4_Sum	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_an5_N	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_an5_Mean	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_an5_Sum	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_an6_N	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_an6_Mean	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_an6_Sum	Fixation Count (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_ad1_N	Fixation Count (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_ad1_Mean	Fixation Count (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_ad1_Sum	Fixation Count (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_ad2_N	Fixation Count (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_ad2_Mean	Fixation Count (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_ad2_Sum	Fixation Count (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_ad3_N	Fixation Count (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_ad3_Mean	Fixation Count (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_ad3_Sum	Fixation Count (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_ad4_N	Fixation Count (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_ad4_Mean	Fixation Count (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_ad4_Sum	Fixation Count (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_ad5_N	Fixation Count (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_ad5_Mean	Fixation Count (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_ad5_Sum	Fixation Count (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_an1_N	Fixation Count (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_an1_Mean	Fixation Count (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_an1_Sum	Fixation Count (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_an2_N	Fixation Count (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_an2_Mean	Fixation Count (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_an2_Sum	Fixation Count (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_an3_N	Fixation Count (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_an3_Mean	Fixation Count (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_an3_Sum	Fixation Count (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_an4_N	Fixation Count (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_an4_Mean	Fixation Count (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_an4_Sum	Fixation Count (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_an5_N	Fixation Count (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_an5_Mean	Fixation Count (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_an5_Sum	Fixation Count (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_an6_N	Fixation Count (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_an6_Mean	Fixation Count (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_an6_Sum
Rec 02	-	-	-	1	0.541	0.541	-	-	-	1	3.399	3.399	-	-	-	-	-	-	1	0.891	0.891	1	1.199	1.199	1	1.899	1.899	1	2.274	2.274	1	2.499	2.499	1	0.000	0.000	1	0.083	0.083	1	0.000	0.000	1	0.717	0.717	1	0.000	0.000	1	0.000	0.000	1	0.225	0.225	1	0.317	0.317	1	0.258	0.258	1	3.331	3.331	1	0.533	0.533	1	0.000	0.000	1	1.000	1.000	1	0.000	0.000	1	5.000	5.000	1	0.000	0.000	1	0.000	0.000	1	1.000	1.000	1	2.000	2.000	1	1.000	1.000	1	16.000	16.000	1	5.000	5.000
Rec 03	1	0.709	0.709	1	0.459	0.459	1	3.159	3.159	-	-	-	-	-	-	1	3.058	3.058	1	5.658	5.658	1	6.233	6.233	1	7.558	7.558	1	8.058	8.058	1	9.183	9.183	1	0.675	0.675	1	1.391	1.391	1	0.983	0.983	1	0.000	0.000	1	0.000	0.000	1	0.483	0.483	1	0.325	0.325	1	1.191	1.191	1	0.432	0.432	1	4.167	4.167	1	0.133	0.133	1	2.000	2.000	1	5.000	5.000	1	5.000	5.000	1	0.000	0.000	1	0.000	0.000	1	3.000	3.000	1	2.000	2.000	1	5.000	5.000	1	3.000	3.000	1	15.000	15.000	1	1.000	1.000
Rec 04	1	0.767	0.767	1	0.525	0.525	1	0.384	0.384	-	-	-	1	15.690	15.690	1	2.567	2.567	1	4.867	4.867	1	6.067	6.067	1	7.816	7.816	1	9.283	9.283	1	11.933	11.933	1	0.600	0.600	1	0.192	0.192	1	0.883	0.883	1	0.000	0.000	1	0.508	0.508	1	1.792	1.792	1	1.062	1.062	1	1.375	1.375	1	1.325	1.325	1	3.308	3.308	1	0.300	0.300	1	2.000	2.000	1	1.000	1.000	1	8.000	8.000	1	0.000	0.000	1	4.000	4.000	1	9.000	9.000	1	7.000	7.000	1	8.000	8.000	1	8.000	8.000	1	15.000	15.000	1	1.000	1.000
Rec 05	1	0.644	0.644	1	0.427	0.427	1	2.744	2.744	1	5.893	5.893	1	0.869	0.869	1	3.102	3.102	1	3.377	3.377	1	4.560	4.560	1	5.294	5.294	1	5.502	5.502	1	5.668	5.668	1	0.492	0.492	1	0.400	0.400	1	0.483	0.483	1	0.092	0.092	1	0.375	0.375	1	1.433	1.433	1	0.117	0.117	1	0.608	0.608	1	0.542	0.542	1	3.641	3.641	1	0.158	0.158	1	3.000	3.000	1	3.000	3.000	1	2.000	2.000	1	1.000	1.000	1	2.000	2.000	1	5.000	5.000	1	1.000	1.000	1	4.000	4.000	1	3.000	3.000	1	17.000	17.000	1	1.000	1.000
Rec 06	1	0.855	0.855	1	0.507	0.507	1	0.297	0.297	1	10.538	10.538	1	3.272	3.272	1	2.564	2.564	1	6.838	6.838	1	4.672	4.672	1	5.280	5.280	1	17.620	17.620	1	7.421	7.421	1	0.625	0.625	1	1.073	1.073	1	1.050	1.050	1	0.542	0.542	1	0.458	0.458	1	1.783	1.783	1	2.317	2.317	1	0.725	0.725	1	2.008	2.008	1	1.842	1.842	1	0.433	0.433	1	5.000	5.000	1	7.000	7.000	1	5.000	5.000	1	3.000	3.000	1	4.000	4.000	1	13.000	13.000	1	14.000	14.000	1	7.000	7.000	1	13.000	13.000	1	15.000	15.000	1	3.000	3.000
Rec 07	1	4.613	4.613	1	0.388	0.388	1	2.713	2.713	1	9.808	9.808	1	0.580	0.580	1	2.996	2.996	1	6.554	6.554	1	8.616	8.616	1	9.216	9.216	1	10.883	10.883	1	10.058	10.058	1	0.583	0.583	1	0.575	0.575	1	0.583	0.583	1	0.208	0.208	1	0.633	0.633	1	2.250	2.250	1	0.140	0.140	1	0.467	0.467	1	0.708	0.708	1	1.017	1.017	1	0.333	0.333	1	3.000	3.000	1	4.000	4.000	1	4.000	4.000	1	2.000	2.000	1	4.000	4.000	1	12.000	12.000	1	2.000	2.000	1	3.000	3.000	1	4.000	4.000	1	3.000	3.000	1	1.000	1.000
Rec 08	1	1.398	1.398	1	0.390	0.390	1	3.114	3.114	-	-	-	-	-	-	1	5.789	5.789	1	6.531	6.531	1	9.513	9.513	1	9.705	9.705	1	11.638	11.638	1	14.555	14.555	1	0.892	0.892	1	1.042	1.042	1	2.366	2.366	1	0.000	0.000	1	0.000	0.000	1	0.533	0.533	1	2.083	2.083	1	0.117	0.117	1	1.342	1.342	1	1.802	1.802	1	0.342	0.342	1	5.000	5.000	1	7.000	7.000	1	12.000	12.000	1	0.000	0.000	1	0.000	0.000	1	3.000	3.000	1	9.000	9.000	1	1.000	1.000	1	8.000	8.000	1	10.000	10.000	1	1.000	1.000
Rec 09	1	0.693	0.693	-	-	-	1	1.435	1.435	1	4.834	4.834	-	-	-	1	1.802	1.802	1	3.176	3.176	1	2.818	2.818	1	4.076	4.076	1	3.835	3.835	1	4.460	4.460	1	0.300	0.300	1	0.000	0.000	1	0.275	0.275	1	0.475	0.475	1	0.000	0.000	1	0.808	0.808	1	0.525	0.525	1	0.292	0.292	1	0.417	0.417	1	2.826	2.826	1	0.767	0.767	1	1.000	1.000	1	0.000	0.000	1	2.000	2.000	1	3.000	3.000	1	0.000	0.000	1	3.000	3.000	1	3.000	3.000	1	1.000	1.000	1	3.000	3.000	1	16.000	16.000	1	4.000	4.000
Rec 10	1	1.088	1.088	1	0.363	0.363	1	3.904	3.904	1	18.003	18.003	-	-	-	1	6.129	6.129	1	7.662	7.662	1	8.245	8.245	1	15.794	15.794	1	16.411	16.411	1	16.194	16.194	1	1.241	1.241	1	1.542	1.542	1	3.266	3.266	1	1.208	1.208	1	0.000	0.000	1	3.116	3.116	1	5.499	5.499	1	1.850	1.850	1	0.392	0.392	1	0.850	0.850	1	0.767	0.767	1	7.000	7.000	1	11.000	11.000	1	15.000	15.000	1	8.000	8.000	1	0.000	0.000	1	21.000	21.000	1	32.000	32.000	1	10.000	10.000	1	3.000	3.000	1	5.000	5.000	1	4.000	4.000
Rec 11	1	0.443	0.443	1	0.168	0.168	1	11.078	11.078	-	-	-	1	0.743	0.743	1	10.362	10.362	1	10.945	10.945	1	16.261	16.261	1	18.894	18.894	1	22.060	22.060	1	25.685	25.685	1	0.767	0.767	1	1.183	1.183	1	0.525	0.525	1	0.000	0.000	1	1.616	1.616	1	3.533	3.533	1	2.456	2.456	1	2.383	2.383	1	1.441	1.441	1	2.150	2.150	1	0.417	0.417	1	5.000	5.000	1	4.000	4.000	1	4.000	4.000	1	0.000	0.000	1	13.000	13.000	1	19.000	19.000	1	16.000	16.000	1	12.000	12.000	1	10.000	10.000	1	13.000	13.000	1	3.000	3.000
Rec 12	1	1.065	1.065	1	0.473	0.473	1	1.557	1.557	-	-	-	-	-	-	1	1.340	1.340	1	5.314	5.314	1	6.923	6.923	1	8.189	8.189	1	8.622	8.622	-	-	-	1	0.208	0.208	1	0.467	0.467	1	0.950	0.950	1	0.000	0.000	1	0.000	0.000	1	0.658	0.658	1	1.208	1.208	1	0.800	0.800	1	0.858	0.858	1	2.925	2.925	1	0.000	0.000	1	2.000	2.000	1	3.000	3.000	1	6.000	6.000	1	0.000	0.000	1	0.000	0.000	1	6.000	6.000	1	6.000	6.000	1	5.000	5.000	1	6.000	6.000	1	14.000	14.000	1	0.000	0.000
Rec 13	1	1.142	1.142	1	0.175	0.175	1	3.558	3.558	1	15.556	15.556	1	18.506	18.506	1	4.749	4.749	1	7.099	7.099	1	6.532	6.532	1	8.582	8.582	1	10.515	10.515	1	9.049	9.049	1	0.425	0.425	1	1.524	1.524	1	0.950	0.950	1	0.858	0.858	1	0.125	0.125	1	1.283	1.283	1	0.717	0.717	1	0.617	0.617	1	1.256	1.256	1	3.608	3.608	1	0.458	0.458	1	3.000	3.000	1	9.000	9.000	1	5.000	5.000	1	4.000	4.000	1	1.000	1.000	1	7.000	7.000	1	4.000	4.000	1	3.000	3.000	1	8.000	8.000	1	18.000	18.000	1	3.000	3.000
Rec 14	1	0.657	0.657	1	0.382	0.382	-	-	-	-	-	-	-	-	-	1	2.041	2.041	-	-	-	1	2.332	2.332	1	7.082	7.082	1	2.624	2.624	1	2.957	2.957	1	0.658	0.658	1	0.575	0.575	1	0.000	0.000	1	0.000	0.000	1	0.000	0.000	1	0.242	0.242	1	0.000	0.000	1	0.283	0.283	1	0.220	0.220	1	2.600	2.600	1	0.408	0.408	1	3.000	3.000	1	3.000	3.000	1	0.000	0.000	1	0.000	0.000	1	0.000	0.000	1	1.000	1.000	1	0.000	0.000	1	1.000	1.000	1	1.000	1.000	1	11.000	11.000	1	2.000	2.000
Rec 15	1	0.557	0.557	1	0.374	0.374	1	4.407	4.407	-	-	-	-	-	-	1	5.615	5.615	1	8.839	8.839	1	10.173	10.173	1	10.406	10.406	1	15.014	15.014	-	-	-	1	2.117	2.117	1	1.166	1.166	1	0.691	0.691	1	0.000	0.000	1	0.000	0.000	1	2.158	2.158	1	0.475	0.475	1	1.433	1.433	1	1.883	1.883	1	1.733	1.733	1	0.000	0.000	1	11.000	11.000	1	6.000	6.000	1	4.000	4.000	1	0.000	0.000	1	0.000	0.000	1	9.000	9.000	1	3.000	3.000	1	9.000	9.000	1	9.000	9.000	1	6.000	6.000	1	0.000	0.000
Rec 16	1	0.463	0.463	-	-	-	1	1.988	1.988	1	13.312	13.312	-	-	-	1	3.954	3.954	1	6.729	6.729	1	8.221	8.221	1	10.362	10.362	1	12.070	12.070	1	11.845	11.845	1	1.025	1.025	1	0.000	0.000	1	1.100	1.100	1	2.050	2.050	1	0.000	0.000	1	2.100	2.100	1	1.283	1.283	1	1.783	1.783	1	1.083	1.083	1	3.783	3.783	1	3.616	3.616	1	5.000	5.000	1	0.000	0.000	1	4.000	4.000	1	10.000	10.000	1	0.000	0.000	1	13.000	13.000	1	5.000	5.000	1	8.000	8.000	1	6.000	6.000	1	15.000	15.000	1	16.000	16.000
Rec 17	1	0.471	0.471	1	0.695	0.695	1	4.195	4.195	1	9.611	9.611	-	-	-	1	5.695	5.695	1	6.112	6.112	1	6.512	6.512	1	6.878	6.878	1	7.536	7.536	1	9.286	9.286	1	1.358	1.358	1	2.016	2.016	1	2.341	2.341	1	5.208	5.208	1	0.000	0.000	1	1.325	1.325	1	1.217	1.217	1	1.350	1.350	1	1.491	1.491	1	4.417	4.417	1	0.683	0.683	1	7.000	7.000	1	9.000	9.000	1	10.000	10.000	1	18.000	18.000	1	0.000	0.000	1	4.000	4.000	1	5.000	5.000	1	6.000	6.000	1	5.000	5.000	1	18.000	18.000	1	3.000	3.000
Rec 18	1	0.727	0.727	1	0.452	0.452	1	2.301	2.301	-	-	-	-	-	-	1	4.543	4.543	1	5.459	5.459	1	9.609	9.609	1	10.384	10.384	1	17.608	17.608	-	-	-	1	0.908	0.908	1	1.133	1.133	1	1.608	1.608	1	0.000	0.000	1	0.000	0.000	1	3.458	3.458	1	2.508	2.508	1	1.691	1.691	1	0.716	0.716	1	4.557	4.557	1	0.000	0.000	1	7.000	7.000	1	6.000	6.000	1	8.000	8.000	1	0.000	0.000	1	0.000	0.000	1	19.000	19.000	1	10.000	10.000	1	8.000	8.000	1	4.000	4.000	1	20.000	20.000	1	0.000	0.000
