	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_ad1_N	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_ad1_Mean	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_ad1_Sum	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_ad2_N	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_ad2_Mean	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_ad2_Sum	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_ad3_N	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_ad3_Mean	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_ad3_Sum	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_ad4_N	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_ad4_Mean	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_ad4_Sum	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_ad5_N	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_ad5_Mean	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_ad5_Sum	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_an1_N	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_an1_Mean	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_an1_Sum	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_an2_N	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_an2_Mean	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_an2_Sum	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_an3_N	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_an3_Mean	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_an3_Sum	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_an4_N	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_an4_Mean	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_an4_Sum	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_an5_N	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_an5_Mean	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_an5_Sum	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_an6_N	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_an6_Mean	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_an6_Sum	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_ad1_N	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_ad1_Mean	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_ad1_Sum	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_ad2_N	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_ad2_Mean	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_ad2_Sum	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_ad3_N	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_ad3_Mean	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_ad3_Sum	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_ad4_N	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_ad4_Mean	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_ad4_Sum	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_ad5_N	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_ad5_Mean	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_ad5_Sum	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_an1_N	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_an1_Mean	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_an1_Sum	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_an2_N	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_an2_Mean	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_an2_Sum	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_an3_N	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_an3_Mean	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_an3_Sum	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_an4_N	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_an4_Mean	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_an4_Sum	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_an5_N	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_an5_Mean	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_an5_Sum	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_an6_N	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_an6_Mean	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_an6_Sum	Fixation Count (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_ad1_N	Fixation Count (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_ad1_Mean	Fixation Count (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_ad1_Sum	Fixation Count (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_ad2_N	Fixation Count (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_ad2_Mean	Fixation Count (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_ad2_Sum	Fixation Count (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_ad3_N	Fixation Count (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_ad3_Mean	Fixation Count (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_ad3_Sum	Fixation Count (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_ad4_N	Fixation Count (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_ad4_Mean	Fixation Count (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_ad4_Sum	Fixation Count (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_ad5_N	Fixation Count (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_ad5_Mean	Fixation Count (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_ad5_Sum	Fixation Count (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_an1_N	Fixation Count (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_an1_Mean	Fixation Count (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_an1_Sum	Fixation Count (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_an2_N	Fixation Count (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_an2_Mean	Fixation Count (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_an2_Sum	Fixation Count (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_an3_N	Fixation Count (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_an3_Mean	Fixation Count (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_an3_Sum	Fixation Count (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_an4_N	Fixation Count (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_an4_Mean	Fixation Count (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_an4_Sum	Fixation Count (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_an5_N	Fixation Count (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_an5_Mean	Fixation Count (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_an5_Sum	Fixation Count (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_an6_N	Fixation Count (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_an6_Mean	Fixation Count (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_an6_Sum
Rec 02	1	0.718	0.718	1	0.384	0.384	1	5.167	5.167	-	-	-	-	-	-	1	1.584	1.584	-	-	-	1	5.751	5.751	-	-	-	-	-	-	-	-	-	1	3.591	3.591	1	0.983	0.983	1	0.317	0.317	1	0.000	0.000	1	0.000	0.000	1	0.225	0.225	1	0.000	0.000	1	3.241	3.241	1	0.000	0.000	1	0.000	0.000	1	0.000	0.000	1	21.000	21.000	1	4.000	4.000	1	2.000	2.000	1	0.000	0.000	1	0.000	0.000	1	2.000	2.000	1	0.000	0.000	1	23.000	23.000	1	0.000	0.000	1	0.000	0.000	1	0.000	0.000
Rec 03	1	0.389	0.389	1	0.639	0.639	1	4.814	4.814	-	-	-	-	-	-	1	5.805	5.805	1	6.989	6.989	1	7.589	7.589	1	10.963	10.963	-	-	-	-	-	-	1	1.875	1.875	1	1.550	1.550	1	0.875	0.875	1	0.000	0.000	1	0.000	0.000	1	1.066	1.066	1	0.442	0.442	1	1.908	1.908	1	0.625	0.625	1	0.000	0.000	1	0.000	0.000	1	9.000	9.000	1	7.000	7.000	1	4.000	4.000	1	0.000	0.000	1	0.000	0.000	1	2.000	2.000	1	3.000	3.000	1	9.000	9.000	1	2.000	2.000	1	0.000	0.000	1	0.000	0.000
Rec 04	1	10.020	10.020	1	0.458	0.458	1	2.466	2.466	-	-	-	1	7.804	7.804	1	1.233	1.233	1	4.579	4.579	1	5.971	5.971	1	10.454	10.454	1	10.612	10.612	-	-	-	1	0.175	0.175	1	0.533	0.533	1	0.505	0.505	1	0.000	0.000	1	0.892	0.892	1	2.291	2.291	1	2.353	2.353	1	3.733	3.733	1	0.692	0.692	1	0.183	0.183	1	0.000	0.000	1	1.000	1.000	1	3.000	3.000	1	3.000	3.000	1	0.000	0.000	1	3.000	3.000	1	16.000	16.000	1	10.000	10.000	1	21.000	21.000	1	4.000	4.000	1	1.000	1.000	1	0.000	0.000
Rec 05	1	0.667	0.667	1	0.475	0.475	1	13.324	13.324	1	8.591	8.591	-	-	-	1	2.450	2.450	1	3.942	3.942	1	4.567	4.567	1	4.800	4.800	1	7.125	7.125	1	8.299	8.299	1	0.775	0.775	1	0.658	0.658	1	0.100	0.100	1	1.433	1.433	1	0.000	0.000	1	0.983	0.983	1	0.684	0.684	1	2.423	2.423	1	0.925	0.925	1	0.575	0.575	1	0.258	0.258	1	6.000	6.000	1	4.000	4.000	1	1.000	1.000	1	5.000	5.000	1	0.000	0.000	1	7.000	7.000	1	5.000	5.000	1	16.000	16.000	1	6.000	6.000	1	3.000	3.000	1	1.000	1.000
Rec 06	1	0.593	0.593	1	0.218	0.218	1	1.776	1.776	-	-	-	-	-	-	1	2.426	2.426	1	5.009	5.009	1	5.409	5.409	1	11.158	11.158	-	-	-	-	-	-	1	0.783	0.783	1	0.958	0.958	1	0.367	0.367	1	0.000	0.000	1	0.000	0.000	1	0.325	0.325	1	0.117	0.117	1	3.658	3.658	1	0.342	0.342	1	0.000	0.000	1	0.000	0.000	1	6.000	6.000	1	5.000	5.000	1	3.000	3.000	1	0.000	0.000	1	0.000	0.000	1	3.000	3.000	1	1.000	1.000	1	21.000	21.000	1	3.000	3.000	1	0.000	0.000	1	0.000	0.000
Rec 07	1	0.639	0.639	1	0.223	0.223	1	7.805	7.805	-	-	-	1	6.005	6.005	1	7.455	7.455	1	9.238	9.238	1	9.447	9.447	1	12.904	12.904	1	13.504	13.504	-	-	-	1	1.591	1.591	1	0.508	0.508	1	0.558	0.558	1	0.000	0.000	1	0.867	0.867	1	0.975	0.975	1	1.258	1.258	1	2.142	2.142	1	0.433	0.433	1	0.200	0.200	1	0.000	0.000	1	8.000	8.000	1	5.000	5.000	1	2.000	2.000	1	0.000	0.000	1	6.000	6.000	1	7.000	7.000	1	6.000	6.000	1	14.000	14.000	1	3.000	3.000	1	1.000	1.000	1	0.000	0.000
Rec 08	1	0.556	0.556	1	0.415	0.415	1	9.789	9.789	-	-	-	-	-	-	1	11.105	11.105	1	13.196	13.196	1	16.063	16.063	1	33.036	33.036	-	-	-	-	-	-	1	13.634	13.634	1	2.649	2.649	1	0.933	0.933	1	0.000	0.000	1	0.000	0.000	1	1.416	1.416	1	2.300	2.300	1	9.158	9.158	1	0.150	0.150	1	0.000	0.000	1	0.000	0.000	1	74.000	74.000	1	17.000	17.000	1	5.000	5.000	1	0.000	0.000	1	0.000	0.000	1	9.000	9.000	1	13.000	13.000	1	55.000	55.000	1	2.000	2.000	1	0.000	0.000	1	0.000	0.000
Rec 09	1	0.807	0.807	1	0.365	0.365	1	4.231	4.231	1	7.939	7.939	-	-	-	1	3.256	3.256	1	3.723	3.723	1	6.772	6.772	1	11.714	11.714	1	7.522	7.522	1	18.779	18.779	1	3.041	3.041	1	0.758	0.758	1	0.442	0.442	1	2.341	2.341	1	0.000	0.000	1	1.316	1.316	1	1.800	1.800	1	3.621	3.621	1	1.283	1.283	1	0.883	0.883	1	0.375	0.375	1	12.000	12.000	1	6.000	6.000	1	2.000	2.000	1	12.000	12.000	1	0.000	0.000	1	7.000	7.000	1	9.000	9.000	1	19.000	19.000	1	9.000	9.000	1	4.000	4.000	1	2.000	2.000
Rec 10	1	1.121	1.121	1	5.254	5.254	1	14.919	14.919	1	24.218	24.218	-	-	-	1	0.529	0.529	1	35.617	35.617	1	16.311	16.311	1	16.969	16.969	1	21.235	21.235	1	23.668	23.668	1	9.783	9.783	1	3.266	3.266	1	2.150	2.150	1	1.808	1.808	1	0.000	0.000	1	3.091	3.091	1	1.450	1.450	1	4.793	4.793	1	1.983	1.983	1	1.558	1.558	1	0.692	0.692	1	68.000	68.000	1	21.000	21.000	1	11.000	11.000	1	9.000	9.000	1	0.000	0.000	1	21.000	21.000	1	6.000	6.000	1	28.000	28.000	1	14.000	14.000	1	8.000	8.000	1	4.000	4.000
Rec 11	1	2.971	2.971	1	11.262	11.262	1	11.812	11.812	1	18.828	18.828	1	0.422	0.422	1	12.295	12.295	1	13.521	13.521	1	16.278	16.278	1	17.353	17.353	1	18.445	18.445	1	19.003	19.003	1	9.045	9.045	1	2.791	2.791	1	1.400	1.400	1	0.583	0.583	1	0.717	0.717	1	4.199	4.199	1	2.057	2.057	1	4.431	4.431	1	0.866	0.866	1	0.242	0.242	1	0.258	0.258	1	54.000	54.000	1	18.000	18.000	1	8.000	8.000	1	4.000	4.000	1	7.000	7.000	1	27.000	27.000	1	14.000	14.000	1	28.000	28.000	1	6.000	6.000	1	1.000	1.000	1	2.000	2.000
Rec 12	1	0.958	0.958	1	0.425	0.425	1	0.567	0.567	1	10.362	10.362	-	-	-	1	13.220	13.220	1	4.775	4.775	1	5.059	5.059	1	6.330	6.330	1	7.704	7.704	1	9.554	9.554	1	1.958	1.958	1	1.691	1.691	1	1.483	1.483	1	0.883	0.883	1	0.000	0.000	1	0.900	0.900	1	1.050	1.050	1	2.942	2.942	1	2.766	2.766	1	0.792	0.792	1	0.492	0.492	1	15.000	15.000	1	11.000	11.000	1	9.000	9.000	1	5.000	5.000	1	0.000	0.000	1	8.000	8.000	1	6.000	6.000	1	22.000	22.000	1	18.000	18.000	1	3.000	3.000	1	4.000	4.000
Rec 13	1	0.561	0.561	1	0.369	0.369	1	2.235	2.235	-	-	-	1	3.502	3.502	1	2.710	2.710	1	4.668	4.668	1	5.685	5.685	1	7.127	7.127	1	12.001	12.001	-	-	-	1	0.333	0.333	1	0.617	0.617	1	0.267	0.267	1	0.000	0.000	1	0.250	0.250	1	0.626	0.626	1	0.317	0.317	1	3.500	3.500	1	0.175	0.175	1	0.283	0.283	1	0.000	0.000	1	3.000	3.000	1	4.000	4.000	1	2.000	2.000	1	0.000	0.000	1	3.000	3.000	1	3.000	3.000	1	4.000	4.000	1	20.000	20.000	1	1.000	1.000	1	2.000	2.000	1	0.000	0.000
Rec 14	1	0.452	0.452	1	3.694	3.694	-	-	-	-	-	-	-	-	-	-	-	-	1	4.702	4.702	1	4.994	4.994	-	-	-	-	-	-	-	-	-	1	2.566	2.566	1	0.883	0.883	1	0.000	0.000	1	0.000	0.000	1	0.000	0.000	1	0.000	0.000	1	0.267	0.267	1	5.266	5.266	1	0.000	0.000	1	0.000	0.000	1	0.000	0.000	1	13.000	13.000	1	3.000	3.000	1	0.000	0.000	1	0.000	0.000	1	0.000	0.000	1	0.000	0.000	1	1.000	1.000	1	23.000	23.000	1	0.000	0.000	1	0.000	0.000	1	0.000	0.000
Rec 15	1	1.292	1.292	1	11.599	11.599	1	3.050	3.050	-	-	-	-	-	-	1	3.242	3.242	1	14.341	14.341	1	14.582	14.582	1	19.382	19.382	-	-	-	-	-	-	1	3.341	3.341	1	1.115	1.115	1	0.358	0.358	1	0.000	0.000	1	0.000	0.000	1	1.008	1.008	1	0.192	0.192	1	3.650	3.650	1	0.183	0.183	1	0.000	0.000	1	0.000	0.000	1	20.000	20.000	1	8.000	8.000	1	2.000	2.000	1	0.000	0.000	1	0.000	0.000	1	6.000	6.000	1	1.000	1.000	1	16.000	16.000	1	1.000	1.000	1	0.000	0.000	1	0.000	0.000
Rec 16	1	0.527	0.527	1	7.485	7.485	1	0.210	0.210	-	-	-	-	-	-	1	9.634	9.634	1	11.459	11.459	1	11.626	11.626	1	22.808	22.808	1	26.216	26.216	-	-	-	1	3.058	3.058	1	0.550	0.550	1	0.233	0.233	1	0.000	0.000	1	0.000	0.000	1	1.525	1.525	1	0.267	0.267	1	7.774	7.774	1	1.050	1.050	1	0.417	0.417	1	0.000	0.000	1	13.000	13.000	1	3.000	3.000	1	1.000	1.000	1	0.000	0.000	1	0.000	0.000	1	7.000	7.000	1	2.000	2.000	1	33.000	33.000	1	5.000	5.000	1	2.000	2.000	1	0.000	0.000
Rec 17	1	0.873	0.873	1	0.239	0.239	1	3.189	3.189	1	15.646	15.646	-	-	-	1	2.781	2.781	1	8.305	8.305	1	4.872	4.872	1	4.539	4.539	-	-	-	1	15.371	15.371	1	2.188	2.188	1	1.725	1.725	1	0.800	0.800	1	0.467	0.467	1	0.000	0.000	1	0.700	0.700	1	0.525	0.525	1	4.333	4.333	1	0.808	0.808	1	0.000	0.000	1	0.217	0.217	1	12.000	12.000	1	9.000	9.000	1	3.000	3.000	1	2.000	2.000	1	0.000	0.000	1	4.000	4.000	1	2.000	2.000	1	18.000	18.000	1	4.000	4.000	1	0.000	0.000	1	1.000	1.000
Rec 18	1	0.522	0.522	1	6.304	6.304	1	1.222	1.222	-	-	-	-	-	-	1	1.672	1.672	1	11.404	11.404	1	16.245	16.245	1	18.795	18.795	-	-	-	-	-	-	1	5.124	5.124	1	1.500	1.500	1	1.708	1.708	1	0.000	0.000	1	0.000	0.000	1	2.075	2.075	1	0.766	0.766	1	2.166	2.166	1	2.483	2.483	1	0.000	0.000	1	0.000	0.000	1	24.000	24.000	1	10.000	10.000	1	11.000	11.000	1	0.000	0.000	1	0.000	0.000	1	13.000	13.000	1	6.000	6.000	1	10.000	10.000	1	14.000	14.000	1	0.000	0.000	1	0.000	0.000
Rec 19	1	0.387	0.387	1	5.553	5.553	1	9.802	9.802	1	15.693	15.693	1	48.375	48.375	1	9.269	9.269	1	10.719	10.719	1	11.636	11.636	1	12.302	12.302	1	15.018	15.018	1	15.460	15.460	1	7.074	7.074	1	5.957	5.957	1	2.783	2.783	1	4.824	4.824	1	0.250	0.250	1	1.875	1.875	1	2.450	2.450	1	11.424	11.424	1	5.124	5.124	1	1.791	1.791	1	1.566	1.566	1	44.000	44.000	1	37.000	37.000	1	17.000	17.000	1	28.000	28.000	1	2.000	2.000	1	11.000	11.000	1	12.000	12.000	1	62.000	62.000	1	35.000	35.000	1	11.000	11.000	1	8.000	8.000
