	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/飞利浦咖啡机.html (CRC)_ad1_N	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/飞利浦咖啡机.html (CRC)_ad1_Mean	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/飞利浦咖啡机.html (CRC)_ad1_Sum	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/飞利浦咖啡机.html (CRC)_ad2_N	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/飞利浦咖啡机.html (CRC)_ad2_Mean	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/飞利浦咖啡机.html (CRC)_ad2_Sum	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/飞利浦咖啡机.html (CRC)_ad3_N	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/飞利浦咖啡机.html (CRC)_ad3_Mean	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/飞利浦咖啡机.html (CRC)_ad3_Sum	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/飞利浦咖啡机.html (CRC)_ad4_N	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/飞利浦咖啡机.html (CRC)_ad4_Mean	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/飞利浦咖啡机.html (CRC)_ad4_Sum	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/飞利浦咖啡机.html (CRC)_ad5_N	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/飞利浦咖啡机.html (CRC)_ad5_Mean	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/飞利浦咖啡机.html (CRC)_ad5_Sum	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/飞利浦咖啡机.html (CRC)_an1_N	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/飞利浦咖啡机.html (CRC)_an1_Mean	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/飞利浦咖啡机.html (CRC)_an1_Sum	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/飞利浦咖啡机.html (CRC)_an2_N	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/飞利浦咖啡机.html (CRC)_an2_Mean	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/飞利浦咖啡机.html (CRC)_an2_Sum	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/飞利浦咖啡机.html (CRC)_an3_N	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/飞利浦咖啡机.html (CRC)_an3_Mean	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/飞利浦咖啡机.html (CRC)_an3_Sum	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/飞利浦咖啡机.html (CRC)_an4_N	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/飞利浦咖啡机.html (CRC)_an4_Mean	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/飞利浦咖啡机.html (CRC)_an4_Sum	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/飞利浦咖啡机.html (CRC)_an5_N	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/飞利浦咖啡机.html (CRC)_an5_Mean	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/飞利浦咖啡机.html (CRC)_an5_Sum	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/飞利浦咖啡机.html (CRC)_an6_N	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/飞利浦咖啡机.html (CRC)_an6_Mean	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/飞利浦咖啡机.html (CRC)_an6_Sum	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/飞利浦咖啡机.html (CRC)_ad1_N	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/飞利浦咖啡机.html (CRC)_ad1_Mean	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/飞利浦咖啡机.html (CRC)_ad1_Sum	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/飞利浦咖啡机.html (CRC)_ad2_N	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/飞利浦咖啡机.html (CRC)_ad2_Mean	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/飞利浦咖啡机.html (CRC)_ad2_Sum	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/飞利浦咖啡机.html (CRC)_ad3_N	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/飞利浦咖啡机.html (CRC)_ad3_Mean	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/飞利浦咖啡机.html (CRC)_ad3_Sum	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/飞利浦咖啡机.html (CRC)_ad4_N	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/飞利浦咖啡机.html (CRC)_ad4_Mean	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/飞利浦咖啡机.html (CRC)_ad4_Sum	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/飞利浦咖啡机.html (CRC)_ad5_N	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/飞利浦咖啡机.html (CRC)_ad5_Mean	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/飞利浦咖啡机.html (CRC)_ad5_Sum	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/飞利浦咖啡机.html (CRC)_an1_N	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/飞利浦咖啡机.html (CRC)_an1_Mean	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/飞利浦咖啡机.html (CRC)_an1_Sum	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/飞利浦咖啡机.html (CRC)_an2_N	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/飞利浦咖啡机.html (CRC)_an2_Mean	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/飞利浦咖啡机.html (CRC)_an2_Sum	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/飞利浦咖啡机.html (CRC)_an3_N	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/飞利浦咖啡机.html (CRC)_an3_Mean	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/飞利浦咖啡机.html (CRC)_an3_Sum	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/飞利浦咖啡机.html (CRC)_an4_N	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/飞利浦咖啡机.html (CRC)_an4_Mean	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/飞利浦咖啡机.html (CRC)_an4_Sum	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/飞利浦咖啡机.html (CRC)_an5_N	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/飞利浦咖啡机.html (CRC)_an5_Mean	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/飞利浦咖啡机.html (CRC)_an5_Sum	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/飞利浦咖啡机.html (CRC)_an6_N	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/飞利浦咖啡机.html (CRC)_an6_Mean	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/飞利浦咖啡机.html (CRC)_an6_Sum	Fixation Count (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/飞利浦咖啡机.html (CRC)_ad1_N	Fixation Count (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/飞利浦咖啡机.html (CRC)_ad1_Mean	Fixation Count (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/飞利浦咖啡机.html (CRC)_ad1_Sum	Fixation Count (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/飞利浦咖啡机.html (CRC)_ad2_N	Fixation Count (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/飞利浦咖啡机.html (CRC)_ad2_Mean	Fixation Count (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/飞利浦咖啡机.html (CRC)_ad2_Sum	Fixation Count (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/飞利浦咖啡机.html (CRC)_ad3_N	Fixation Count (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/飞利浦咖啡机.html (CRC)_ad3_Mean	Fixation Count (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/飞利浦咖啡机.html (CRC)_ad3_Sum	Fixation Count (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/飞利浦咖啡机.html (CRC)_ad4_N	Fixation Count (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/飞利浦咖啡机.html (CRC)_ad4_Mean	Fixation Count (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/飞利浦咖啡机.html (CRC)_ad4_Sum	Fixation Count (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/飞利浦咖啡机.html (CRC)_ad5_N	Fixation Count (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/飞利浦咖啡机.html (CRC)_ad5_Mean	Fixation Count (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/飞利浦咖啡机.html (CRC)_ad5_Sum	Fixation Count (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/飞利浦咖啡机.html (CRC)_an1_N	Fixation Count (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/飞利浦咖啡机.html (CRC)_an1_Mean	Fixation Count (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/飞利浦咖啡机.html (CRC)_an1_Sum	Fixation Count (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/飞利浦咖啡机.html (CRC)_an2_N	Fixation Count (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/飞利浦咖啡机.html (CRC)_an2_Mean	Fixation Count (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/飞利浦咖啡机.html (CRC)_an2_Sum	Fixation Count (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/飞利浦咖啡机.html (CRC)_an3_N	Fixation Count (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/飞利浦咖啡机.html (CRC)_an3_Mean	Fixation Count (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/飞利浦咖啡机.html (CRC)_an3_Sum	Fixation Count (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/飞利浦咖啡机.html (CRC)_an4_N	Fixation Count (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/飞利浦咖啡机.html (CRC)_an4_Mean	Fixation Count (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/飞利浦咖啡机.html (CRC)_an4_Sum	Fixation Count (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/飞利浦咖啡机.html (CRC)_an5_N	Fixation Count (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/飞利浦咖啡机.html (CRC)_an5_Mean	Fixation Count (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/飞利浦咖啡机.html (CRC)_an5_Sum	Fixation Count (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/飞利浦咖啡机.html (CRC)_an6_N	Fixation Count (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/飞利浦咖啡机.html (CRC)_an6_Mean	Fixation Count (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/飞利浦咖啡机.html (CRC)_an6_Sum
Rec 02	1	0.707	0.707	1	0.457	0.457	-	-	-	-	-	-	-	-	-	-	-	-	1	1.299	1.299	1	1.657	1.657	-	-	-	1	2.365	2.365	-	-	-	1	0.292	0.292	1	0.342	0.342	1	0.000	0.000	1	0.000	0.000	1	0.000	0.000	1	0.000	0.000	1	0.267	0.267	1	0.083	0.083	1	0.000	0.000	1	1.358	1.358	1	0.000	0.000	1	2.000	2.000	1	2.000	2.000	1	0.000	0.000	1	0.000	0.000	1	0.000	0.000	1	0.000	0.000	1	2.000	2.000	1	1.000	1.000	1	0.000	0.000	1	10.000	10.000	1	0.000	0.000
Rec 03	1	2.009	2.009	1	0.442	0.442	-	-	-	-	-	-	1	3.342	3.342	1	4.150	4.150	1	4.617	4.617	1	5.292	5.292	-	-	-	1	5.742	5.742	1	6.542	6.542	1	0.442	0.442	1	1.908	1.908	1	0.000	0.000	1	0.000	0.000	1	0.083	0.083	1	0.392	0.392	1	0.283	0.283	1	0.308	0.308	1	0.000	0.000	1	2.136	2.136	1	0.200	0.200	1	2.000	2.000	1	10.000	10.000	1	0.000	0.000	1	0.000	0.000	1	1.000	1.000	1	2.000	2.000	1	2.000	2.000	1	2.000	2.000	1	0.000	0.000	1	11.000	11.000	1	2.000	2.000
Rec 04	1	1.687	1.687	1	0.953	0.953	1	0.470	0.470	1	10.061	10.061	-	-	-	1	4.111	4.111	1	4.786	4.786	1	5.594	5.594	1	6.369	6.369	1	6.811	6.811	1	8.494	8.494	1	1.067	1.067	1	1.300	1.300	1	0.475	0.475	1	0.633	0.633	1	0.000	0.000	1	0.450	0.450	1	0.458	0.458	1	0.558	0.558	1	0.417	0.417	1	1.725	1.725	1	0.516	0.516	1	3.000	3.000	1	4.000	4.000	1	3.000	3.000	1	3.000	3.000	1	0.000	0.000	1	4.000	4.000	1	3.000	3.000	1	5.000	5.000	1	3.000	3.000	1	9.000	9.000	1	4.000	4.000
Rec 05	1	1.497	1.497	1	0.439	0.439	1	1.689	1.689	1	5.355	5.355	-	-	-	1	1.989	1.989	1	2.239	2.239	1	2.614	2.614	-	-	-	1	3.814	3.814	1	4.788	4.788	1	0.142	0.142	1	0.608	0.608	1	0.267	0.267	1	0.142	0.142	1	0.000	0.000	1	0.400	0.400	1	0.417	0.417	1	0.475	0.475	1	0.000	0.000	1	1.941	1.941	1	0.450	0.450	1	1.000	1.000	1	4.000	4.000	1	1.000	1.000	1	1.000	1.000	1	0.000	0.000	1	2.000	2.000	1	2.000	2.000	1	3.000	3.000	1	0.000	0.000	1	12.000	12.000	1	2.000	2.000
Rec 06	1	0.655	0.655	1	0.230	0.230	1	2.213	2.213	1	10.404	10.404	-	-	-	1	1.780	1.780	1	3.488	3.488	1	3.755	3.755	1	4.938	4.938	1	5.629	5.629	1	6.304	6.304	1	0.158	0.158	1	0.342	0.342	1	0.075	0.075	1	0.358	0.358	1	0.000	0.000	1	1.191	1.191	1	0.433	0.433	1	0.550	0.550	1	0.425	0.425	1	3.908	3.908	1	0.608	0.608	1	2.000	2.000	1	2.000	2.000	1	1.000	1.000	1	2.000	2.000	1	0.000	0.000	1	8.000	8.000	1	4.000	4.000	1	4.000	4.000	1	3.000	3.000	1	18.000	18.000	1	3.000	3.000
Rec 07	1	1.210	1.210	1	0.269	0.269	1	1.844	1.844	-	-	-	-	-	-	1	2.227	2.227	1	2.393	2.393	1	3.735	3.735	1	4.143	4.143	1	4.701	4.701	-	-	-	1	0.192	0.192	1	0.142	0.142	1	0.300	0.300	1	0.000	0.000	1	0.000	0.000	1	0.342	0.342	1	0.600	0.600	1	0.150	0.150	1	0.542	0.542	1	1.300	1.300	1	0.000	0.000	1	1.000	1.000	1	1.000	1.000	1	2.000	2.000	1	0.000	0.000	1	0.000	0.000	1	4.000	4.000	1	5.000	5.000	1	1.000	1.000	1	3.000	3.000	1	6.000	6.000	1	0.000	0.000
Rec 08	1	0.743	0.743	1	0.560	0.560	1	2.760	2.760	-	-	-	1	6.084	6.084	1	3.276	3.276	1	4.926	4.926	1	16.866	16.866	1	17.333	17.333	1	18.266	18.266	1	21.691	21.691	1	2.842	2.842	1	1.916	1.916	1	0.783	0.783	1	0.000	0.000	1	0.425	0.425	1	2.225	2.225	1	1.050	1.050	1	0.392	0.392	1	0.725	0.725	1	2.841	2.841	1	0.217	0.217	1	18.000	18.000	1	13.000	13.000	1	6.000	6.000	1	0.000	0.000	1	2.000	2.000	1	14.000	14.000	1	8.000	8.000	1	3.000	3.000	1	5.000	5.000	1	16.000	16.000	1	1.000	1.000
Rec 09	1	0.801	0.801	1	0.367	0.367	1	1.526	1.526	1	6.383	6.383	-	-	-	1	1.392	1.392	1	1.951	1.951	-	-	-	1	2.875	2.875	1	3.292	3.292	1	2.609	2.609	1	0.442	0.442	1	0.267	0.267	1	0.342	0.342	1	0.250	0.250	1	0.000	0.000	1	0.100	0.100	1	0.417	0.417	1	0.000	0.000	1	0.358	0.358	1	1.000	1.000	1	0.850	0.850	1	3.000	3.000	1	2.000	2.000	1	2.000	2.000	1	1.000	1.000	1	0.000	0.000	1	1.000	1.000	1	3.000	3.000	1	0.000	0.000	1	2.000	2.000	1	5.000	5.000	1	5.000	5.000
Rec 10	1	0.826	0.826	1	0.576	0.576	1	3.567	3.567	-	-	-	-	-	-	-	-	-	1	4.447	4.447	1	5.446	5.446	1	6.246	6.246	1	6.088	6.088	1	7.055	7.055	1	0.908	0.908	1	0.367	0.367	1	0.158	0.158	1	0.000	0.000	1	0.000	0.000	1	0.000	0.000	1	0.417	0.417	1	0.283	0.283	1	0.117	0.117	1	0.508	0.508	1	0.475	0.475	1	6.000	6.000	1	3.000	3.000	1	2.000	2.000	1	0.000	0.000	1	0.000	0.000	1	0.000	0.000	1	3.000	3.000	1	2.000	2.000	1	1.000	1.000	1	4.000	4.000	1	3.000	3.000
Rec 11	1	0.402	0.402	1	2.027	2.027	1	4.794	4.794	1	18.517	18.517	1	2.660	2.660	1	5.727	5.727	1	10.676	10.676	1	12.134	12.134	1	12.893	12.893	1	14.467	14.467	1	14.767	14.767	1	0.941	0.941	1	0.908	0.908	1	1.383	1.383	1	0.358	0.358	1	1.033	1.033	1	1.958	1.958	1	0.975	0.975	1	0.567	0.567	1	1.250	1.250	1	3.775	3.775	1	1.092	1.092	1	7.000	7.000	1	7.000	7.000	1	9.000	9.000	1	2.000	2.000	1	6.000	6.000	1	13.000	13.000	1	8.000	8.000	1	4.000	4.000	1	8.000	8.000	1	19.000	19.000	1	6.000	6.000
Rec 12	1	0.812	0.812	1	1.978	1.978	1	0.345	0.345	-	-	-	1	5.130	5.130	1	2.578	2.578	1	9.276	9.276	1	9.701	9.701	1	10.642	10.642	1	15.402	15.402	1	16.676	16.676	1	0.475	0.475	1	0.258	0.258	1	0.558	0.558	1	0.000	0.000	1	0.217	0.217	1	0.533	0.533	1	0.483	0.483	1	1.050	1.050	1	0.500	0.500	1	2.141	2.141	1	0.583	0.583	1	3.000	3.000	1	1.000	1.000	1	5.000	5.000	1	0.000	0.000	1	1.000	1.000	1	6.000	6.000	1	3.000	3.000	1	7.000	7.000	1	4.000	4.000	1	13.000	13.000	1	3.000	3.000
Rec 13	1	0.509	0.509	1	0.184	0.184	1	1.426	1.426	1	11.608	11.608	1	2.642	2.642	1	3.059	3.059	1	4.625	4.625	1	5.750	5.750	1	7.250	7.250	1	8.200	8.200	1	8.775	8.775	1	0.500	0.500	1	0.392	0.392	1	0.350	0.350	1	1.117	1.117	1	0.433	0.433	1	0.600	0.600	1	0.842	0.842	1	0.708	0.708	1	0.842	0.842	1	4.377	4.377	1	2.717	2.717	1	4.000	4.000	1	4.000	4.000	1	1.000	1.000	1	7.000	7.000	1	3.000	3.000	1	3.000	3.000	1	6.000	6.000	1	4.000	4.000	1	5.000	5.000	1	26.000	26.000	1	14.000	14.000
Rec 14	-	-	-	1	0.670	0.670	1	0.771	0.771	1	1.929	1.929	-	-	-	1	0.429	0.429	1	0.945	0.945	-	-	-	1	1.595	1.595	1	2.745	2.745	1	2.245	2.245	1	0.000	0.000	1	0.083	0.083	1	0.108	0.108	1	0.217	0.217	1	0.000	0.000	1	0.200	0.200	1	0.483	0.483	1	0.000	0.000	1	0.300	0.300	1	1.991	1.991	1	0.383	0.383	1	0.000	0.000	1	1.000	1.000	1	1.000	1.000	1	1.000	1.000	1	0.000	0.000	1	1.000	1.000	1	4.000	4.000	1	0.000	0.000	1	1.000	1.000	1	7.000	7.000	1	2.000	2.000
Rec 15	1	0.736	0.736	1	2.044	2.044	1	2.286	2.286	1	12.868	12.868	-	-	-	1	4.010	4.010	1	4.252	4.252	1	4.344	4.344	1	8.860	8.860	1	9.777	9.777	1	9.635	9.635	1	0.442	0.442	1	0.308	0.308	1	0.325	0.325	1	0.400	0.400	1	0.000	0.000	1	0.342	0.342	1	1.567	1.567	1	0.742	0.742	1	0.825	0.825	1	2.641	2.641	1	0.467	0.467	1	3.000	3.000	1	2.000	2.000	1	2.000	2.000	1	2.000	2.000	1	0.000	0.000	1	3.000	3.000	1	11.000	11.000	1	3.000	3.000	1	4.000	4.000	1	15.000	15.000	1	3.000	3.000
Rec 16	1	0.518	0.518	1	0.409	0.409	1	3.784	3.784	1	14.716	14.716	1	2.318	2.318	-	-	-	1	9.233	9.233	1	9.950	9.950	-	-	-	1	11.258	11.258	1	13.800	13.800	1	1.308	1.308	1	1.383	1.383	1	2.675	2.675	1	0.442	0.442	1	0.667	0.667	1	0.000	0.000	1	0.792	0.792	1	0.892	0.892	1	0.000	0.000	1	2.391	2.391	1	0.750	0.750	1	8.000	8.000	1	9.000	9.000	1	11.000	11.000	1	2.000	2.000	1	2.000	2.000	1	0.000	0.000	1	4.000	4.000	1	4.000	4.000	1	0.000	0.000	1	9.000	9.000	1	4.000	4.000
Rec 17	1	0.821	0.821	1	0.388	0.388	1	1.979	1.979	1	6.829	6.829	-	-	-	1	2.404	2.404	1	2.862	2.862	1	3.271	3.271	1	5.562	5.562	1	4.670	4.670	1	6.154	6.154	1	0.683	0.683	1	0.517	0.517	1	0.375	0.375	1	0.442	0.442	1	0.000	0.000	1	0.400	0.400	1	0.992	0.992	1	0.533	0.533	1	0.464	0.464	1	1.017	1.017	1	0.525	0.525	1	3.000	3.000	1	2.000	2.000	1	2.000	2.000	1	2.000	2.000	1	0.000	0.000	1	1.000	1.000	1	4.000	4.000	1	2.000	2.000	1	2.000	2.000	1	4.000	4.000	1	3.000	3.000
Rec 18	1	0.851	0.851	1	0.643	0.643	1	2.934	2.934	1	9.925	9.925	-	-	-	1	3.426	3.426	1	3.951	3.951	1	4.309	4.309	1	5.642	5.642	1	5.867	5.867	1	7.809	7.809	1	0.650	0.650	1	0.517	0.517	1	0.417	0.417	1	0.308	0.308	1	0.000	0.000	1	0.400	0.400	1	0.433	0.433	1	0.833	0.833	1	0.392	0.392	1	2.848	2.848	1	0.992	0.992	1	4.000	4.000	1	4.000	4.000	1	2.000	2.000	1	3.000	3.000	1	0.000	0.000	1	3.000	3.000	1	3.000	3.000	1	5.000	5.000	1	3.000	3.000	1	19.000	19.000	1	7.000	7.000
Rec 19	1	0.416	0.416	1	1.241	1.241	1	1.616	1.616	-	-	-	-	-	-	1	3.049	3.049	1	4.274	4.274	1	4.374	4.374	1	6.740	6.740	1	7.615	7.615	1	8.165	8.165	1	0.292	0.292	1	0.458	0.458	1	1.192	1.192	1	0.000	0.000	1	0.000	0.000	1	0.642	0.642	1	0.200	0.200	1	1.791	1.791	1	0.733	0.733	1	5.749	5.749	1	0.333	0.333	1	2.000	2.000	1	3.000	3.000	1	5.000	5.000	1	0.000	0.000	1	0.000	0.000	1	3.000	3.000	1	2.000	2.000	1	9.000	9.000	1	4.000	4.000	1	21.000	21.000	1	2.000	2.000
Rec 20	1	0.598	0.598	1	0.240	0.240	1	2.923	2.923	1	13.022	13.022	-	-	-	1	3.340	3.340	1	4.115	4.115	1	5.840	5.840	1	11.397	11.397	1	12.539	12.539	1	12.272	12.272	1	0.500	0.500	1	1.217	1.217	1	0.325	0.325	1	0.475	0.475	1	0.000	0.000	1	1.267	1.267	1	1.908	1.908	1	3.533	3.533	1	0.367	0.367	1	1.983	1.983	1	1.009	1.009	1	4.000	4.000	1	7.000	7.000	1	2.000	2.000	1	3.000	3.000	1	0.000	0.000	1	6.000	6.000	1	7.000	7.000	1	19.000	19.000	1	3.000	3.000	1	14.000	14.000	1	6.000	6.000
