	gender	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/罗技.html (CRC)_ad1_N	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/罗技.html (CRC)_ad1_Mean	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/罗技.html (CRC)_ad1_Sum	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/罗技.html (CRC)_ad2_N	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/罗技.html (CRC)_ad2_Mean	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/罗技.html (CRC)_ad2_Sum	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/罗技.html (CRC)_ad3_N	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/罗技.html (CRC)_ad3_Mean	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/罗技.html (CRC)_ad3_Sum	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/罗技.html (CRC)_ad4_N	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/罗技.html (CRC)_ad4_Mean	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/罗技.html (CRC)_ad4_Sum	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/罗技.html (CRC)_ad5_N	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/罗技.html (CRC)_ad5_Mean	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/罗技.html (CRC)_ad5_Sum	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/罗技.html (CRC)_an1_N	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/罗技.html (CRC)_an1_Mean	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/罗技.html (CRC)_an1_Sum	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/罗技.html (CRC)_an2_N	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/罗技.html (CRC)_an2_Mean	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/罗技.html (CRC)_an2_Sum	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/罗技.html (CRC)_an3_N	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/罗技.html (CRC)_an3_Mean	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/罗技.html (CRC)_an3_Sum	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/罗技.html (CRC)_an4_N	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/罗技.html (CRC)_an4_Mean	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/罗技.html (CRC)_an4_Sum	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/罗技.html (CRC)_an5_N	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/罗技.html (CRC)_an5_Mean	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/罗技.html (CRC)_an5_Sum	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/罗技.html (CRC)_an6_N	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/罗技.html (CRC)_an6_Mean	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/罗技.html (CRC)_an6_Sum
Rec A02	male	1	0.915	0.915	1	0.415	0.415	1	2.015	2.015	1	8.480	8.480	-	-	-	1	1.415	1.415	1	2.765	2.765	1	3.214	3.214	1	4.456	4.456	1	7.364	7.364	1	7.939	7.939
Rec A03	female	1	0.895	0.895	1	0.378	0.378	1	2.270	2.270	1	11.794	11.794	-	-	-	1	3.153	3.153	1	4.803	4.803	1	4.953	4.953	1	8.744	8.744	1	10.702	10.702	1	11.352	11.352
Rec A04	male	-	-	-	1	0.415	0.415	-	-	-	1	13.181	13.181	-	-	-	-	-	-	1	1.656	1.656	1	2.539	2.539	1	4.114	4.114	1	5.914	5.914	1	7.747	7.747
Rec A05	female	1	0.939	0.939	1	0.464	0.464	1	2.797	2.797	-	-	-	-	-	-	1	3.497	3.497	1	6.105	6.105	1	6.455	6.455	1	7.622	7.622	1	10.121	10.121	1	10.655	10.655
Rec A06	male	1	0.558	0.558	1	0.442	0.442	1	1.608	1.608	1	19.181	19.181	-	-	-	1	3.625	3.625	1	3.183	3.183	1	3.283	3.283	1	7.224	7.224	1	8.291	8.291	1	9.474	9.474
Rec A07	male	1	0.941	0.941	1	1.849	1.849	1	0.257	0.257	1	8.473	8.473	-	-	-	1	2.249	2.249	1	2.499	2.499	1	2.957	2.957	1	3.732	3.732	1	6.665	6.665	1	7.782	7.782
Rec A08	male	1	1.478	1.478	1	0.353	0.353	1	3.394	3.394	1	13.351	13.351	1	16.084	16.084	1	4.619	4.619	1	5.211	5.211	1	5.819	5.819	1	7.719	7.719	1	9.352	9.352	1	12.302	12.302
Rec A09	male	1	0.839	0.839	1	0.414	0.414	1	1.681	1.681	-	-	-	-	-	-	1	1.239	1.239	1	5.930	5.930	1	2.881	2.881	1	6.464	6.464	1	6.664	6.664	1	10.397	10.397
Rec A10	female	1	1.360	1.360	1	1.860	1.860	1	0.652	0.652	1	11.297	11.297	-	-	-	1	3.019	3.019	1	2.827	2.827	1	4.702	4.702	1	5.856	5.856	1	9.822	9.822	1	10.513	10.513
Rec A11	male	1	0.614	0.614	1	0.214	0.214	1	1.722	1.722	1	11.296	11.296	-	-	-	1	2.722	2.722	1	3.655	3.655	1	4.030	4.030	1	7.146	7.146	1	8.913	8.913	1	9.413	9.413
Rec A12	female	1	0.871	0.871	1	0.430	0.430	1	3.038	3.038	1	9.637	9.637	1	23.244	23.244	1	3.821	3.821	1	4.579	4.579	1	5.412	5.412	1	7.120	7.120	1	8.854	8.854	1	9.137	9.137
Rec A13	female	1	1.011	1.011	1	0.427	0.427	1	0.594	0.594	1	20.850	20.850	1	6.043	6.043	1	1.585	1.585	1	2.094	2.094	1	2.744	2.744	1	9.860	9.860	1	12.884	12.884	1	14.151	14.151
Rec A14	male	-	-	-	1	0.441	0.441	1	1.249	1.249	-	-	-	-	-	-	1	1.695	1.695	1	4.708	4.708	1	4.458	4.458	1	6.974	6.974	1	9.924	9.924	1	14.615	14.615
Rec A15	female	1	0.663	0.663	1	0.463	0.463	1	3.854	3.854	-	-	-	1	12.370	12.370	1	4.954	4.954	1	6.112	6.112	1	6.879	6.879	1	8.520	8.520	-	-	-	-	-	-
Rec A16	male	1	0.477	0.477	1	2.210	2.210	1	4.160	4.160	1	21.325	21.325	-	-	-	1	6.576	6.576	1	7.376	7.376	1	8.968	8.968	1	11.809	11.809	1	19.925	19.925	1	20.833	20.833
