	gender	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/苹果官方售后.html (CRC)_ad1_N	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/苹果官方售后.html (CRC)_ad1_Mean	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/苹果官方售后.html (CRC)_ad1_Sum	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/苹果官方售后.html (CRC)_ad2_N	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/苹果官方售后.html (CRC)_ad2_Mean	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/苹果官方售后.html (CRC)_ad2_Sum	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/苹果官方售后.html (CRC)_ad3_N	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/苹果官方售后.html (CRC)_ad3_Mean	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/苹果官方售后.html (CRC)_ad3_Sum	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/苹果官方售后.html (CRC)_ad4_N	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/苹果官方售后.html (CRC)_ad4_Mean	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/苹果官方售后.html (CRC)_ad4_Sum	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/苹果官方售后.html (CRC)_ad5_N	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/苹果官方售后.html (CRC)_ad5_Mean	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/苹果官方售后.html (CRC)_ad5_Sum	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/苹果官方售后.html (CRC)_an1_N	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/苹果官方售后.html (CRC)_an1_Mean	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/苹果官方售后.html (CRC)_an1_Sum	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/苹果官方售后.html (CRC)_an2_N	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/苹果官方售后.html (CRC)_an2_Mean	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/苹果官方售后.html (CRC)_an2_Sum	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/苹果官方售后.html (CRC)_an3_N	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/苹果官方售后.html (CRC)_an3_Mean	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/苹果官方售后.html (CRC)_an3_Sum	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/苹果官方售后.html (CRC)_an4_N	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/苹果官方售后.html (CRC)_an4_Mean	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/苹果官方售后.html (CRC)_an4_Sum	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/苹果官方售后.html (CRC)_an5_N	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/苹果官方售后.html (CRC)_an5_Mean	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/苹果官方售后.html (CRC)_an5_Sum	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/苹果官方售后.html (CRC)_an6_N	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/苹果官方售后.html (CRC)_an6_Mean	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/苹果官方售后.html (CRC)_an6_Sum
Rec A02	male	1	0.429	0.429	1	1.004	1.004	1	1.887	1.887	-	-	-	-	-	-	1	1.429	1.429	1	3.978	3.978	-	-	-	1	4.953	4.953	1	6.345	6.345	-	-	-
Rec A03	female	1	0.865	0.865	1	0.173	0.173	1	1.906	1.906	-	-	-	-	-	-	1	2.240	2.240	1	2.831	2.831	1	3.690	3.690	1	5.523	5.523	1	6.031	6.031	-	-	-
Rec A04	male	1	1.098	1.098	1	1.323	1.323	1	0.348	0.348	-	-	-	-	-	-	1	2.590	2.590	1	1.715	1.715	1	3.065	3.065	1	6.447	6.447	1	6.572	6.572	-	-	-
Rec A05	female	1	0.691	0.691	1	0.325	0.325	1	1.258	1.258	1	4.849	4.849	-	-	-	1	1.650	1.650	1	1.925	1.925	1	2.550	2.550	1	3.199	3.199	1	3.058	3.058	1	4.016	4.016
Rec A06	male	1	1.159	1.159	1	0.476	0.476	1	7.758	7.758	-	-	-	1	17.590	17.590	1	2.434	2.434	1	2.092	2.092	1	7.017	7.017	1	16.857	16.857	1	38.393	38.393	-	-	-
Rec A07	male	1	0.627	0.627	1	0.211	0.211	1	0.411	0.411	-	-	-	-	-	-	1	4.360	4.360	1	4.785	4.785	1	5.219	5.219	1	8.619	8.619	1	7.898	7.898	1	11.902	11.902
Rec A08	male	1	0.674	0.674	1	0.199	0.199	1	2.566	2.566	-	-	-	-	-	-	1	5.124	5.124	1	5.357	5.357	1	6.849	6.849	1	8.482	8.482	1	9.457	9.457	1	13.098	13.098
Rec A09	male	1	0.903	0.903	1	0.412	0.412	1	2.395	2.395	1	9.944	9.944	-	-	-	1	2.153	2.153	1	1.953	1.953	1	4.028	4.028	1	4.436	4.436	1	4.670	4.670	1	9.411	9.411
Rec A10	female	1	0.714	0.714	1	0.181	0.181	1	3.781	3.781	1	12.405	12.405	-	-	-	1	4.114	4.114	1	4.697	4.697	1	6.639	6.639	1	7.839	7.839	1	8.930	8.930	-	-	-
Rec A11	male	1	0.360	0.360	1	0.927	0.927	1	1.294	1.294	-	-	-	-	-	-	1	3.685	3.685	1	3.527	3.527	1	5.210	5.210	1	6.476	6.476	1	7.851	7.851	-	-	-
Rec A12	female	1	0.812	0.812	1	1.137	1.137	1	0.212	0.212	-	-	-	-	-	-	1	3.612	3.612	1	4.204	4.204	1	5.070	5.070	1	7.220	7.220	1	12.244	12.244	1	12.461	12.461
Rec A13	female	1	0.805	0.805	1	0.363	0.363	1	0.671	0.671	1	9.687	9.687	1	5.663	5.663	1	5.138	5.138	1	8.154	8.154	1	5.996	5.996	1	6.904	6.904	1	9.287	9.287	1	10.220	10.220
Rec A14	male	1	1.184	1.184	1	0.409	0.409	1	2.151	2.151	1	7.175	7.175	-	-	-	1	1.384	1.384	-	-	-	1	2.634	2.634	1	3.592	3.592	1	3.709	3.709	1	6.534	6.534
Rec A15	female	1	1.321	1.321	1	0.312	0.312	1	4.728	4.728	-	-	-	-	-	-	1	5.795	5.795	1	7.603	7.603	1	7.961	7.961	1	11.219	11.219	1	12.961	12.961	-	-	-
Rec A16	male	1	1.210	1.210	1	0.143	0.143	1	3.776	3.776	-	-	-	-	-	-	1	4.634	4.634	1	5.043	5.043	1	5.767	5.767	1	6.909	6.909	1	7.717	7.717	-	-	-
Rec A17	female	1	0.611	0.611	1	0.361	0.361	1	3.277	3.277	1	8.202	8.202	-	-	-	1	3.002	3.002	1	3.469	3.469	1	4.519	4.519	1	5.585	5.585	1	6.119	6.119	1	8.952	8.952
