	gender	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/雅虎财经.html (CRC)_ad1_N	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/雅虎财经.html (CRC)_ad1_Mean	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/雅虎财经.html (CRC)_ad1_Sum	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/雅虎财经.html (CRC)_ad2_N	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/雅虎财经.html (CRC)_ad2_Mean	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/雅虎财经.html (CRC)_ad2_Sum	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/雅虎财经.html (CRC)_ad3_N	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/雅虎财经.html (CRC)_ad3_Mean	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/雅虎财经.html (CRC)_ad3_Sum	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/雅虎财经.html (CRC)_ad4_N	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/雅虎财经.html (CRC)_ad4_Mean	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/雅虎财经.html (CRC)_ad4_Sum	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/雅虎财经.html (CRC)_ad5_N	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/雅虎财经.html (CRC)_ad5_Mean	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/雅虎财经.html (CRC)_ad5_Sum	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/雅虎财经.html (CRC)_an1_N	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/雅虎财经.html (CRC)_an1_Mean	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/雅虎财经.html (CRC)_an1_Sum	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/雅虎财经.html (CRC)_an2_N	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/雅虎财经.html (CRC)_an2_Mean	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/雅虎财经.html (CRC)_an2_Sum	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/雅虎财经.html (CRC)_an3_N	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/雅虎财经.html (CRC)_an3_Mean	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/雅虎财经.html (CRC)_an3_Sum	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/雅虎财经.html (CRC)_an4_N	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/雅虎财经.html (CRC)_an4_Mean	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/雅虎财经.html (CRC)_an4_Sum	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/雅虎财经.html (CRC)_an5_N	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/雅虎财经.html (CRC)_an5_Mean	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/雅虎财经.html (CRC)_an5_Sum	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/雅虎财经.html (CRC)_an6_N	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/雅虎财经.html (CRC)_an6_Mean	Time to First Fixation_file:///C:/Users/SYSUD202/Desktop/Test2/雅虎财经.html (CRC)_an6_Sum
Rec 02	male	1	0.769	0.769	1	0.444	0.444	1	2.111	2.111	1	13.209	13.209	1	4.644	4.644	1	3.519	3.519	1	4.885	4.885	1	6.460	6.460	1	8.926	8.926	1	9.293	9.293	1	9.976	9.976
Rec 03	female	1	0.848	0.848	1	0.431	0.431	1	1.756	1.756	1	13.155	13.155	-	-	-	1	2.864	2.864	1	3.473	3.473	1	5.497	5.497	1	7.222	7.222	1	8.530	8.530	1	8.705	8.705
Rec 04	male	-	-	-	1	0.320	0.320	1	1.336	1.336	1	7.836	7.836	-	-	-	1	1.128	1.128	1	1.970	1.970	1	2.378	2.378	1	3.453	3.453	1	5.152	5.152	1	7.319	7.319
Rec 05	female	1	0.992	0.992	1	0.284	0.284	1	1.334	1.334	1	4.809	4.809	1	0.501	0.501	1	1.809	1.809	1	2.092	2.092	1	2.484	2.484	1	2.959	2.959	1	3.300	3.300	1	3.434	3.434
Rec 06	male	1	1.057	1.057	1	0.241	0.241	1	4.957	4.957	1	10.765	10.765	-	-	-	1	1.874	1.874	1	2.657	2.657	1	6.015	6.015	1	7.548	7.548	1	8.432	8.432	1	10.223	10.223
Rec 07	male	1	0.479	0.479	1	1.745	1.745	1	1.429	1.429	1	6.337	6.337	1	9.253	9.253	1	3.187	3.187	1	2.529	2.529	1	3.670	3.670	1	3.829	3.829	1	4.303	4.303	1	5.837	5.837
Rec 08	male	1	0.455	0.455	1	1.114	1.114	1	6.713	6.713	1	26.319	26.319	-	-	-	1	9.363	9.363	1	10.913	10.913	1	15.604	15.604	1	18.803	18.803	1	20.378	20.378	1	22.911	22.911
Rec 09	male	1	1.279	1.279	1	0.995	0.995	1	0.395	0.395	-	-	-	-	-	-	1	2.512	2.512	1	2.878	2.878	1	3.070	3.070	1	10.411	10.411	1	6.512	6.512	-	-	-
Rec 10	female	1	15.474	15.474	1	0.192	0.192	1	3.100	3.100	-	-	-	-	-	-	1	3.917	3.917	1	4.200	4.200	1	5.467	5.467	1	6.692	6.692	1	9.141	9.141	1	10.800	10.800
Rec 11	male	1	0.985	0.985	1	0.568	0.568	1	6.884	6.884	1	19.924	19.924	-	-	-	1	6.409	6.409	1	12.642	12.642	1	14.150	14.150	1	15.817	15.817	1	16.766	16.766	1	19.583	19.583
Rec 12	female	1	1.256	1.256	-	-	-	1	1.672	1.672	1	10.688	10.688	-	-	-	1	2.205	2.205	1	2.605	2.605	1	4.788	4.788	1	6.055	6.055	1	7.896	7.896	1	10.329	10.329
Rec 13	female	1	1.369	1.369	1	0.261	0.261	1	0.702	0.702	1	22.983	22.983	-	-	-	1	3.969	3.969	1	8.327	8.327	1	9.360	9.360	1	15.217	15.217	1	17.009	17.009	1	17.217	17.217
Rec 14	male	1	0.363	0.363	1	0.471	0.471	1	4.355	4.355	1	7.229	7.229	-	-	-	1	1.921	1.921	1	1.488	1.488	1	4.963	4.963	1	8.654	8.654	1	6.146	6.146	1	6.871	6.871
Rec 15	female	1	0.437	0.437	1	0.620	0.620	1	1.362	1.362	1	10.261	10.261	-	-	-	1	1.745	1.745	1	3.195	3.195	1	3.462	3.462	1	4.595	4.595	1	5.128	5.128	1	8.178	8.178
Rec 16	male	1	0.351	0.351	1	0.151	0.151	1	3.318	3.318	1	23.674	23.674	-	-	-	1	6.301	6.301	1	8.550	8.550	1	11.025	11.025	1	12.100	12.100	1	16.966	16.966	1	22.024	22.024
