	gender	Fixation Duration_file:///C:/Users/SYSUD202/Desktop/Test2/华为智能冰箱.html (CRC)_ad1_N	Fixation Duration_file:///C:/Users/SYSUD202/Desktop/Test2/华为智能冰箱.html (CRC)_ad1_Mean	Fixation Duration_file:///C:/Users/SYSUD202/Desktop/Test2/华为智能冰箱.html (CRC)_ad1_Sum	Fixation Duration_file:///C:/Users/SYSUD202/Desktop/Test2/华为智能冰箱.html (CRC)_ad2_N	Fixation Duration_file:///C:/Users/SYSUD202/Desktop/Test2/华为智能冰箱.html (CRC)_ad2_Mean	Fixation Duration_file:///C:/Users/SYSUD202/Desktop/Test2/华为智能冰箱.html (CRC)_ad2_Sum	Fixation Duration_file:///C:/Users/SYSUD202/Desktop/Test2/华为智能冰箱.html (CRC)_ad3_N	Fixation Duration_file:///C:/Users/SYSUD202/Desktop/Test2/华为智能冰箱.html (CRC)_ad3_Mean	Fixation Duration_file:///C:/Users/SYSUD202/Desktop/Test2/华为智能冰箱.html (CRC)_ad3_Sum	Fixation Duration_file:///C:/Users/SYSUD202/Desktop/Test2/华为智能冰箱.html (CRC)_ad4_N	Fixation Duration_file:///C:/Users/SYSUD202/Desktop/Test2/华为智能冰箱.html (CRC)_ad4_Mean	Fixation Duration_file:///C:/Users/SYSUD202/Desktop/Test2/华为智能冰箱.html (CRC)_ad4_Sum	Fixation Duration_file:///C:/Users/SYSUD202/Desktop/Test2/华为智能冰箱.html (CRC)_ad5_N	Fixation Duration_file:///C:/Users/SYSUD202/Desktop/Test2/华为智能冰箱.html (CRC)_ad5_Mean	Fixation Duration_file:///C:/Users/SYSUD202/Desktop/Test2/华为智能冰箱.html (CRC)_ad5_Sum	Fixation Duration_file:///C:/Users/SYSUD202/Desktop/Test2/华为智能冰箱.html (CRC)_an1_N	Fixation Duration_file:///C:/Users/SYSUD202/Desktop/Test2/华为智能冰箱.html (CRC)_an1_Mean	Fixation Duration_file:///C:/Users/SYSUD202/Desktop/Test2/华为智能冰箱.html (CRC)_an1_Sum	Fixation Duration_file:///C:/Users/SYSUD202/Desktop/Test2/华为智能冰箱.html (CRC)_an2_N	Fixation Duration_file:///C:/Users/SYSUD202/Desktop/Test2/华为智能冰箱.html (CRC)_an2_Mean	Fixation Duration_file:///C:/Users/SYSUD202/Desktop/Test2/华为智能冰箱.html (CRC)_an2_Sum	Fixation Duration_file:///C:/Users/SYSUD202/Desktop/Test2/华为智能冰箱.html (CRC)_an3_N	Fixation Duration_file:///C:/Users/SYSUD202/Desktop/Test2/华为智能冰箱.html (CRC)_an3_Mean	Fixation Duration_file:///C:/Users/SYSUD202/Desktop/Test2/华为智能冰箱.html (CRC)_an3_Sum	Fixation Duration_file:///C:/Users/SYSUD202/Desktop/Test2/华为智能冰箱.html (CRC)_an4_N	Fixation Duration_file:///C:/Users/SYSUD202/Desktop/Test2/华为智能冰箱.html (CRC)_an4_Mean	Fixation Duration_file:///C:/Users/SYSUD202/Desktop/Test2/华为智能冰箱.html (CRC)_an4_Sum	Fixation Duration_file:///C:/Users/SYSUD202/Desktop/Test2/华为智能冰箱.html (CRC)_an5_N	Fixation Duration_file:///C:/Users/SYSUD202/Desktop/Test2/华为智能冰箱.html (CRC)_an5_Mean	Fixation Duration_file:///C:/Users/SYSUD202/Desktop/Test2/华为智能冰箱.html (CRC)_an5_Sum	Fixation Duration_file:///C:/Users/SYSUD202/Desktop/Test2/华为智能冰箱.html (CRC)_an6_N	Fixation Duration_file:///C:/Users/SYSUD202/Desktop/Test2/华为智能冰箱.html (CRC)_an6_Mean	Fixation Duration_file:///C:/Users/SYSUD202/Desktop/Test2/华为智能冰箱.html (CRC)_an6_Sum	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/华为智能冰箱.html (CRC)_ad1_N	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/华为智能冰箱.html (CRC)_ad1_Mean	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/华为智能冰箱.html (CRC)_ad1_Sum	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/华为智能冰箱.html (CRC)_ad2_N	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/华为智能冰箱.html (CRC)_ad2_Mean	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/华为智能冰箱.html (CRC)_ad2_Sum	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/华为智能冰箱.html (CRC)_ad3_N	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/华为智能冰箱.html (CRC)_ad3_Mean	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/华为智能冰箱.html (CRC)_ad3_Sum	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/华为智能冰箱.html (CRC)_ad4_N	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/华为智能冰箱.html (CRC)_ad4_Mean	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/华为智能冰箱.html (CRC)_ad4_Sum	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/华为智能冰箱.html (CRC)_ad5_N	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/华为智能冰箱.html (CRC)_ad5_Mean	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/华为智能冰箱.html (CRC)_ad5_Sum	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/华为智能冰箱.html (CRC)_an1_N	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/华为智能冰箱.html (CRC)_an1_Mean	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/华为智能冰箱.html (CRC)_an1_Sum	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/华为智能冰箱.html (CRC)_an2_N	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/华为智能冰箱.html (CRC)_an2_Mean	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/华为智能冰箱.html (CRC)_an2_Sum	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/华为智能冰箱.html (CRC)_an3_N	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/华为智能冰箱.html (CRC)_an3_Mean	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/华为智能冰箱.html (CRC)_an3_Sum	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/华为智能冰箱.html (CRC)_an4_N	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/华为智能冰箱.html (CRC)_an4_Mean	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/华为智能冰箱.html (CRC)_an4_Sum	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/华为智能冰箱.html (CRC)_an5_N	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/华为智能冰箱.html (CRC)_an5_Mean	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/华为智能冰箱.html (CRC)_an5_Sum	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/华为智能冰箱.html (CRC)_an6_N	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/华为智能冰箱.html (CRC)_an6_Mean	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/华为智能冰箱.html (CRC)_an6_Sum	Fixation Count_file:///C:/Users/SYSUD202/Desktop/Test2/华为智能冰箱.html (CRC)_ad1_N	Fixation Count_file:///C:/Users/SYSUD202/Desktop/Test2/华为智能冰箱.html (CRC)_ad1_Mean	Fixation Count_file:///C:/Users/SYSUD202/Desktop/Test2/华为智能冰箱.html (CRC)_ad1_Sum	Fixation Count_file:///C:/Users/SYSUD202/Desktop/Test2/华为智能冰箱.html (CRC)_ad2_N	Fixation Count_file:///C:/Users/SYSUD202/Desktop/Test2/华为智能冰箱.html (CRC)_ad2_Mean	Fixation Count_file:///C:/Users/SYSUD202/Desktop/Test2/华为智能冰箱.html (CRC)_ad2_Sum	Fixation Count_file:///C:/Users/SYSUD202/Desktop/Test2/华为智能冰箱.html (CRC)_ad3_N	Fixation Count_file:///C:/Users/SYSUD202/Desktop/Test2/华为智能冰箱.html (CRC)_ad3_Mean	Fixation Count_file:///C:/Users/SYSUD202/Desktop/Test2/华为智能冰箱.html (CRC)_ad3_Sum	Fixation Count_file:///C:/Users/SYSUD202/Desktop/Test2/华为智能冰箱.html (CRC)_ad4_N	Fixation Count_file:///C:/Users/SYSUD202/Desktop/Test2/华为智能冰箱.html (CRC)_ad4_Mean	Fixation Count_file:///C:/Users/SYSUD202/Desktop/Test2/华为智能冰箱.html (CRC)_ad4_Sum	Fixation Count_file:///C:/Users/SYSUD202/Desktop/Test2/华为智能冰箱.html (CRC)_ad5_N	Fixation Count_file:///C:/Users/SYSUD202/Desktop/Test2/华为智能冰箱.html (CRC)_ad5_Mean	Fixation Count_file:///C:/Users/SYSUD202/Desktop/Test2/华为智能冰箱.html (CRC)_ad5_Sum	Fixation Count_file:///C:/Users/SYSUD202/Desktop/Test2/华为智能冰箱.html (CRC)_an1_N	Fixation Count_file:///C:/Users/SYSUD202/Desktop/Test2/华为智能冰箱.html (CRC)_an1_Mean	Fixation Count_file:///C:/Users/SYSUD202/Desktop/Test2/华为智能冰箱.html (CRC)_an1_Sum	Fixation Count_file:///C:/Users/SYSUD202/Desktop/Test2/华为智能冰箱.html (CRC)_an2_N	Fixation Count_file:///C:/Users/SYSUD202/Desktop/Test2/华为智能冰箱.html (CRC)_an2_Mean	Fixation Count_file:///C:/Users/SYSUD202/Desktop/Test2/华为智能冰箱.html (CRC)_an2_Sum	Fixation Count_file:///C:/Users/SYSUD202/Desktop/Test2/华为智能冰箱.html (CRC)_an3_N	Fixation Count_file:///C:/Users/SYSUD202/Desktop/Test2/华为智能冰箱.html (CRC)_an3_Mean	Fixation Count_file:///C:/Users/SYSUD202/Desktop/Test2/华为智能冰箱.html (CRC)_an3_Sum	Fixation Count_file:///C:/Users/SYSUD202/Desktop/Test2/华为智能冰箱.html (CRC)_an4_N	Fixation Count_file:///C:/Users/SYSUD202/Desktop/Test2/华为智能冰箱.html (CRC)_an4_Mean	Fixation Count_file:///C:/Users/SYSUD202/Desktop/Test2/华为智能冰箱.html (CRC)_an4_Sum	Fixation Count_file:///C:/Users/SYSUD202/Desktop/Test2/华为智能冰箱.html (CRC)_an5_N	Fixation Count_file:///C:/Users/SYSUD202/Desktop/Test2/华为智能冰箱.html (CRC)_an5_Mean	Fixation Count_file:///C:/Users/SYSUD202/Desktop/Test2/华为智能冰箱.html (CRC)_an5_Sum	Fixation Count_file:///C:/Users/SYSUD202/Desktop/Test2/华为智能冰箱.html (CRC)_an6_N	Fixation Count_file:///C:/Users/SYSUD202/Desktop/Test2/华为智能冰箱.html (CRC)_an6_Mean	Fixation Count_file:///C:/Users/SYSUD202/Desktop/Test2/华为智能冰箱.html (CRC)_an6_Sum
Rec 02	male	11	0.198	2.183	8	0.163	1.301	24	0.180	4.324	2	0.158	0.317	-	-	-	3	0.117	0.350	4	0.158	0.633	6	0.128	0.766	4	0.135	0.541	5	0.142	0.708	3	0.097	0.292	1	2.183	2.183	1	1.301	1.301	1	4.324	4.324	1	0.317	0.317	1	0.000	0.000	1	0.350	0.350	1	0.633	0.633	1	0.766	0.766	1	0.541	0.541	1	0.708	0.708	1	0.292	0.292	1	11.000	11.000	1	8.000	8.000	1	24.000	24.000	1	2.000	2.000	-	-	-	1	3.000	3.000	1	4.000	4.000	1	6.000	6.000	1	4.000	4.000	1	5.000	5.000	1	3.000	3.000
Rec 03	female	36	0.232	8.350	35	0.181	6.332	123	0.222	27.305	5	0.180	0.900	-	-	-	37	0.187	6.933	38	0.198	7.516	53	0.188	9.983	19	0.168	3.199	8	0.183	1.467	10	0.232	2.316	1	8.350	8.350	1	6.332	6.332	1	27.305	27.305	1	0.900	0.900	1	0.000	0.000	1	6.933	6.933	1	7.516	7.516	1	9.983	9.983	1	3.199	3.199	1	1.467	1.467	1	2.316	2.316	1	36.000	36.000	1	35.000	35.000	1	123.000	123.000	1	5.000	5.000	-	-	-	1	37.000	37.000	1	38.000	38.000	1	53.000	53.000	1	19.000	19.000	1	8.000	8.000	1	10.000	10.000
Rec 04	male	4	0.135	0.541	2	0.183	0.367	18	0.173	3.116	2	0.233	0.467	1	0.100	0.100	33	0.177	5.833	15	0.138	2.074	12	0.206	2.475	14	0.157	2.191	46	0.192	8.816	9	0.144	1.300	1	0.541	0.541	1	0.367	0.367	1	3.116	3.116	1	0.467	0.467	1	0.100	0.100	1	5.833	5.833	1	2.074	2.074	1	2.475	2.475	1	2.191	2.191	1	8.816	8.816	1	1.300	1.300	1	4.000	4.000	1	2.000	2.000	1	18.000	18.000	1	2.000	2.000	1	1.000	1.000	1	33.000	33.000	1	15.000	15.000	1	12.000	12.000	1	14.000	14.000	1	46.000	46.000	1	9.000	9.000
Rec 05	female	10	0.132	1.325	4	0.158	0.633	23	0.195	4.474	-	-	-	-	-	-	7	0.179	1.250	1	0.175	0.175	-	-	-	-	-	-	-	-	-	-	-	-	1	1.325	1.325	1	0.633	0.633	1	4.474	4.474	1	0.000	0.000	1	0.000	0.000	1	1.250	1.250	1	0.175	0.175	1	0.000	0.000	1	0.000	0.000	1	0.000	0.000	1	0.000	0.000	1	10.000	10.000	1	4.000	4.000	1	23.000	23.000	-	-	-	-	-	-	1	7.000	7.000	1	1.000	1.000	-	-	-	-	-	-	-	-	-	-	-	-
Rec 06	male	2	0.217	0.433	3	0.261	0.783	2	0.242	0.483	5	0.103	0.517	-	-	-	3	0.139	0.417	27	0.181	4.899	29	0.186	5.383	14	0.180	2.516	4	0.185	0.742	5	0.103	0.517	1	0.433	0.433	1	0.783	0.783	1	0.483	0.483	1	0.517	0.517	1	0.000	0.000	1	0.417	0.417	1	4.899	4.899	1	5.383	5.383	1	2.516	2.516	1	0.742	0.742	1	0.517	0.517	1	2.000	2.000	1	3.000	3.000	1	2.000	2.000	1	5.000	5.000	-	-	-	1	3.000	3.000	1	27.000	27.000	1	29.000	29.000	1	14.000	14.000	1	4.000	4.000	1	5.000	5.000
Rec 07	male	5	0.110	0.550	16	0.179	2.866	8	0.142	1.133	2	0.192	0.383	7	0.150	1.050	2	0.208	0.417	2	0.196	0.392	2	0.133	0.266	5	0.147	0.733	1	0.092	0.092	1	0.167	0.167	1	0.550	0.550	1	2.866	2.866	1	1.133	1.133	1	0.383	0.383	1	1.050	1.050	1	0.417	0.417	1	0.392	0.392	1	0.266	0.266	1	0.733	0.733	1	0.092	0.092	1	0.167	0.167	1	5.000	5.000	1	16.000	16.000	1	8.000	8.000	1	2.000	2.000	1	7.000	7.000	1	2.000	2.000	1	2.000	2.000	1	2.000	2.000	1	5.000	5.000	1	1.000	1.000	1	1.000	1.000
Rec 08	male	32	0.201	6.441	5	0.152	0.758	32	0.206	6.596	-	-	-	-	-	-	4	0.158	0.633	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	6.441	6.441	1	0.758	0.758	1	6.596	6.596	1	0.000	0.000	1	0.000	0.000	1	0.633	0.633	1	0.000	0.000	1	0.000	0.000	1	0.000	0.000	1	0.000	0.000	1	0.000	0.000	1	32.000	32.000	1	5.000	5.000	1	32.000	32.000	-	-	-	-	-	-	1	4.000	4.000	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Rec 09	male	4	0.144	0.575	10	0.122	1.216	18	0.211	3.800	5	0.188	0.941	-	-	-	4	0.162	0.650	8	0.203	1.625	5	0.232	1.158	8	0.166	1.325	5	0.182	0.908	7	0.167	1.166	1	0.575	0.575	1	1.216	1.216	1	3.800	3.800	1	0.941	0.941	1	0.000	0.000	1	0.650	0.650	1	1.625	1.625	1	1.158	1.158	1	1.325	1.325	1	0.908	0.908	1	1.166	1.166	1	4.000	4.000	1	10.000	10.000	1	18.000	18.000	1	5.000	5.000	-	-	-	1	4.000	4.000	1	8.000	8.000	1	5.000	5.000	1	8.000	8.000	1	5.000	5.000	1	7.000	7.000
Rec 10	female	2	0.171	0.342	2	0.150	0.300	21	0.154	3.241	2	0.146	0.292	-	-	-	46	0.139	6.408	40	0.158	6.317	31	0.177	5.500	19	0.161	3.050	14	0.179	2.507	2	0.262	0.525	1	0.342	0.342	1	0.300	0.300	1	3.241	3.241	1	0.292	0.292	1	0.000	0.000	1	6.408	6.408	1	6.317	6.317	1	5.500	5.500	1	3.050	3.050	1	2.507	2.507	1	0.525	0.525	1	2.000	2.000	1	2.000	2.000	1	21.000	21.000	1	2.000	2.000	-	-	-	1	46.000	46.000	1	40.000	40.000	1	31.000	31.000	1	19.000	19.000	1	14.000	14.000	1	2.000	2.000
Rec 11	male	21	0.169	3.549	11	0.185	2.033	35	0.183	6.399	-	-	-	-	-	-	3	0.147	0.442	3	0.108	0.325	1	0.067	0.067	-	-	-	-	-	-	-	-	-	1	3.549	3.549	1	2.033	2.033	1	6.399	6.399	1	0.000	0.000	1	0.000	0.000	1	0.442	0.442	1	0.325	0.325	1	0.067	0.067	1	0.000	0.000	1	0.000	0.000	1	0.000	0.000	1	21.000	21.000	1	11.000	11.000	1	35.000	35.000	-	-	-	-	-	-	1	3.000	3.000	1	3.000	3.000	1	1.000	1.000	-	-	-	-	-	-	-	-	-
Rec 12	female	16	0.168	2.691	2	0.271	0.542	14	0.147	2.062	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	2.691	2.691	1	0.542	0.542	1	2.062	2.062	1	0.000	0.000	1	0.000	0.000	1	0.000	0.000	1	0.000	0.000	1	0.000	0.000	1	0.000	0.000	1	0.000	0.000	1	0.000	0.000	1	16.000	16.000	1	2.000	2.000	1	14.000	14.000	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Rec 13	female	7	0.171	1.200	7	0.152	1.067	36	0.173	6.224	2	0.233	0.467	2	0.129	0.258	8	0.222	1.774	11	0.143	1.575	21	0.165	3.474	14	0.201	2.816	5	0.117	0.583	6	0.154	0.925	1	1.200	1.200	1	1.067	1.067	1	6.224	6.224	1	0.467	0.467	1	0.258	0.258	1	1.774	1.774	1	1.575	1.575	1	3.474	3.474	1	2.816	2.816	1	0.583	0.583	1	0.925	0.925	1	7.000	7.000	1	7.000	7.000	1	36.000	36.000	1	2.000	2.000	1	2.000	2.000	1	8.000	8.000	1	11.000	11.000	1	21.000	21.000	1	14.000	14.000	1	5.000	5.000	1	6.000	6.000
Rec 14	male	7	0.170	1.192	4	0.227	0.908	-	-	-	3	0.142	0.425	-	-	-	3	0.292	0.875	3	0.397	1.191	9	0.242	2.175	2	0.237	0.475	26	0.241	6.264	6	0.194	1.167	1	1.192	1.192	1	0.908	0.908	1	0.000	0.000	1	0.425	0.425	1	0.000	0.000	1	0.875	0.875	1	1.191	1.191	1	2.175	2.175	1	0.475	0.475	1	6.264	6.264	1	1.167	1.167	1	7.000	7.000	1	4.000	4.000	-	-	-	1	3.000	3.000	-	-	-	1	3.000	3.000	1	3.000	3.000	1	9.000	9.000	1	2.000	2.000	1	26.000	26.000	1	6.000	6.000
Rec 15	female	8	0.197	1.575	7	0.126	0.883	24	0.201	4.812	-	-	-	-	-	-	5	0.193	0.967	4	0.158	0.633	2	0.258	0.517	-	-	-	-	-	-	-	-	-	1	1.575	1.575	1	0.883	0.883	1	4.812	4.812	1	0.000	0.000	1	0.000	0.000	1	0.967	0.967	1	0.633	0.633	1	0.517	0.517	1	0.000	0.000	1	0.000	0.000	1	0.000	0.000	1	8.000	8.000	1	7.000	7.000	1	24.000	24.000	-	-	-	-	-	-	1	5.000	5.000	1	4.000	4.000	1	2.000	2.000	-	-	-	-	-	-	-	-	-
Rec 16	male	14	0.183	2.566	17	0.251	4.274	58	0.211	12.265	14	0.208	2.916	-	-	-	8	0.249	1.991	6	0.254	1.525	4	0.244	0.975	21	0.206	4.316	80	0.240	19.198	10	0.198	1.983	1	2.566	2.566	1	4.274	4.274	1	12.265	12.265	1	2.916	2.916	1	0.000	0.000	1	1.991	1.991	1	1.525	1.525	1	0.975	0.975	1	4.316	4.316	1	19.198	19.198	1	1.983	1.983	1	14.000	14.000	1	17.000	17.000	1	58.000	58.000	1	14.000	14.000	-	-	-	1	8.000	8.000	1	6.000	6.000	1	4.000	4.000	1	21.000	21.000	1	80.000	80.000	1	10.000	10.000
Rec 17	female	9	0.220	1.983	5	0.220	1.100	22	0.244	5.358	1	0.483	0.483	-	-	-	2	0.321	0.642	5	0.217	1.083	2	0.212	0.425	1	0.583	0.583	16	0.247	3.950	7	0.256	1.791	1	1.983	1.983	1	1.100	1.100	1	5.358	5.358	1	0.483	0.483	1	0.000	0.000	1	0.642	0.642	1	1.083	1.083	1	0.425	0.425	1	0.583	0.583	1	3.950	3.950	1	1.791	1.791	1	9.000	9.000	1	5.000	5.000	1	22.000	22.000	1	1.000	1.000	-	-	-	1	2.000	2.000	1	5.000	5.000	1	2.000	2.000	1	1.000	1.000	1	16.000	16.000	1	7.000	7.000
Rec 18	female	47	0.180	8.449	25	0.199	4.983	24	0.159	3.816	-	-	-	-	-	-	19	0.122	2.325	10	0.170	1.700	2	0.154	0.308	5	0.150	0.751	-	-	-	-	-	-	1	8.449	8.449	1	4.983	4.983	1	3.816	3.816	1	0.000	0.000	1	0.000	0.000	1	2.325	2.325	1	1.700	1.700	1	0.308	0.308	1	0.751	0.751	1	0.000	0.000	1	0.000	0.000	1	47.000	47.000	1	25.000	25.000	1	24.000	24.000	-	-	-	-	-	-	1	19.000	19.000	1	10.000	10.000	1	2.000	2.000	1	5.000	5.000	-	-	-	-	-	-
Rec 19	male	15	0.189	2.841	6	0.190	1.141	34	0.194	6.605	3	0.197	0.592	1	0.183	0.183	4	0.154	0.617	6	0.182	1.092	8	0.217	1.733	11	0.163	1.791	4	0.162	0.650	5	0.175	0.875	1	2.841	2.841	1	1.141	1.141	1	6.605	6.605	1	0.592	0.592	1	0.183	0.183	1	0.617	0.617	1	1.092	1.092	1	1.733	1.733	1	1.791	1.791	1	0.650	0.650	1	0.875	0.875	1	15.000	15.000	1	6.000	6.000	1	34.000	34.000	1	3.000	3.000	1	1.000	1.000	1	4.000	4.000	1	6.000	6.000	1	8.000	8.000	1	11.000	11.000	1	4.000	4.000	1	5.000	5.000
