	gender	Fixation Duration_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_ad1_N	Fixation Duration_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_ad1_Mean	Fixation Duration_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_ad1_Sum	Fixation Duration_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_ad2_N	Fixation Duration_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_ad2_Mean	Fixation Duration_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_ad2_Sum	Fixation Duration_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_ad3_N	Fixation Duration_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_ad3_Mean	Fixation Duration_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_ad3_Sum	Fixation Duration_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_ad4_N	Fixation Duration_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_ad4_Mean	Fixation Duration_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_ad4_Sum	Fixation Duration_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_ad5_N	Fixation Duration_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_ad5_Mean	Fixation Duration_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_ad5_Sum	Fixation Duration_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_an1_N	Fixation Duration_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_an1_Mean	Fixation Duration_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_an1_Sum	Fixation Duration_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_an2_N	Fixation Duration_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_an2_Mean	Fixation Duration_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_an2_Sum	Fixation Duration_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_an3_N	Fixation Duration_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_an3_Mean	Fixation Duration_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_an3_Sum	Fixation Duration_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_an4_N	Fixation Duration_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_an4_Mean	Fixation Duration_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_an4_Sum	Fixation Duration_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_an5_N	Fixation Duration_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_an5_Mean	Fixation Duration_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_an5_Sum	Fixation Duration_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_an6_N	Fixation Duration_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_an6_Mean	Fixation Duration_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_an6_Sum	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_ad1_N	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_ad1_Mean	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_ad1_Sum	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_ad2_N	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_ad2_Mean	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_ad2_Sum	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_ad3_N	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_ad3_Mean	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_ad3_Sum	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_ad4_N	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_ad4_Mean	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_ad4_Sum	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_ad5_N	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_ad5_Mean	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_ad5_Sum	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_an1_N	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_an1_Mean	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_an1_Sum	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_an2_N	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_an2_Mean	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_an2_Sum	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_an3_N	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_an3_Mean	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_an3_Sum	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_an4_N	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_an4_Mean	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_an4_Sum	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_an5_N	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_an5_Mean	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_an5_Sum	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_an6_N	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_an6_Mean	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_an6_Sum	Fixation Count_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_ad1_N	Fixation Count_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_ad1_Mean	Fixation Count_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_ad1_Sum	Fixation Count_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_ad2_N	Fixation Count_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_ad2_Mean	Fixation Count_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_ad2_Sum	Fixation Count_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_ad3_N	Fixation Count_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_ad3_Mean	Fixation Count_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_ad3_Sum	Fixation Count_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_ad4_N	Fixation Count_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_ad4_Mean	Fixation Count_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_ad4_Sum	Fixation Count_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_ad5_N	Fixation Count_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_ad5_Mean	Fixation Count_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_ad5_Sum	Fixation Count_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_an1_N	Fixation Count_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_an1_Mean	Fixation Count_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_an1_Sum	Fixation Count_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_an2_N	Fixation Count_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_an2_Mean	Fixation Count_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_an2_Sum	Fixation Count_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_an3_N	Fixation Count_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_an3_Mean	Fixation Count_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_an3_Sum	Fixation Count_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_an4_N	Fixation Count_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_an4_Mean	Fixation Count_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_an4_Sum	Fixation Count_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_an5_N	Fixation Count_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_an5_Mean	Fixation Count_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_an5_Sum	Fixation Count_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_an6_N	Fixation Count_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_an6_Mean	Fixation Count_file:///C:/Users/SYSUD202/Desktop/Test2/汇源果汁.html (CRC)_an6_Sum
Rec 02	male	-	-	-	1	0.083	0.083	-	-	-	5	0.143	0.717	-	-	-	-	-	-	1	0.225	0.225	2	0.158	0.317	1	0.258	0.258	16	0.208	3.331	5	0.107	0.533	1	0.000	0.000	1	0.083	0.083	1	0.000	0.000	1	0.717	0.717	1	0.000	0.000	1	0.000	0.000	1	0.225	0.225	1	0.317	0.317	1	0.258	0.258	1	3.331	3.331	1	0.533	0.533	-	-	-	1	1.000	1.000	-	-	-	1	5.000	5.000	-	-	-	-	-	-	1	1.000	1.000	1	2.000	2.000	1	1.000	1.000	1	16.000	16.000	1	5.000	5.000
Rec 03	female	2	0.337	0.675	5	0.278	1.391	5	0.197	0.983	-	-	-	-	-	-	3	0.161	0.483	2	0.162	0.325	5	0.238	1.191	3	0.144	0.432	15	0.278	4.167	1	0.133	0.133	1	0.675	0.675	1	1.391	1.391	1	0.983	0.983	1	0.000	0.000	1	0.000	0.000	1	0.483	0.483	1	0.325	0.325	1	1.191	1.191	1	0.432	0.432	1	4.167	4.167	1	0.133	0.133	1	2.000	2.000	1	5.000	5.000	1	5.000	5.000	-	-	-	-	-	-	1	3.000	3.000	1	2.000	2.000	1	5.000	5.000	1	3.000	3.000	1	15.000	15.000	1	1.000	1.000
Rec 04	male	2	0.300	0.600	1	0.192	0.192	8	0.110	0.883	-	-	-	4	0.127	0.508	9	0.199	1.792	7	0.152	1.062	8	0.172	1.375	8	0.166	1.325	15	0.221	3.308	1	0.300	0.300	1	0.600	0.600	1	0.192	0.192	1	0.883	0.883	1	0.000	0.000	1	0.508	0.508	1	1.792	1.792	1	1.062	1.062	1	1.375	1.375	1	1.325	1.325	1	3.308	3.308	1	0.300	0.300	1	2.000	2.000	1	1.000	1.000	1	8.000	8.000	-	-	-	1	4.000	4.000	1	9.000	9.000	1	7.000	7.000	1	8.000	8.000	1	8.000	8.000	1	15.000	15.000	1	1.000	1.000
Rec 05	female	3	0.164	0.492	3	0.133	0.400	2	0.242	0.483	1	0.092	0.092	2	0.187	0.375	5	0.287	1.433	1	0.117	0.117	4	0.152	0.608	3	0.181	0.542	17	0.214	3.641	1	0.158	0.158	1	0.492	0.492	1	0.400	0.400	1	0.483	0.483	1	0.092	0.092	1	0.375	0.375	1	1.433	1.433	1	0.117	0.117	1	0.608	0.608	1	0.542	0.542	1	3.641	3.641	1	0.158	0.158	1	3.000	3.000	1	3.000	3.000	1	2.000	2.000	1	1.000	1.000	1	2.000	2.000	1	5.000	5.000	1	1.000	1.000	1	4.000	4.000	1	3.000	3.000	1	17.000	17.000	1	1.000	1.000
Rec 06	male	5	0.125	0.625	7	0.153	1.073	5	0.210	1.050	3	0.181	0.542	4	0.115	0.458	13	0.137	1.783	14	0.165	2.317	7	0.104	0.725	13	0.154	2.008	15	0.123	1.842	3	0.144	0.433	1	0.625	0.625	1	1.073	1.073	1	1.050	1.050	1	0.542	0.542	1	0.458	0.458	1	1.783	1.783	1	2.317	2.317	1	0.725	0.725	1	2.008	2.008	1	1.842	1.842	1	0.433	0.433	1	5.000	5.000	1	7.000	7.000	1	5.000	5.000	1	3.000	3.000	1	4.000	4.000	1	13.000	13.000	1	14.000	14.000	1	7.000	7.000	1	13.000	13.000	1	15.000	15.000	1	3.000	3.000
Rec 07	male	3	0.194	0.583	4	0.144	0.575	4	0.146	0.583	2	0.104	0.208	4	0.158	0.633	12	0.187	2.250	2	0.070	0.140	3	0.156	0.467	4	0.177	0.708	3	0.339	1.017	1	0.333	0.333	1	0.583	0.583	1	0.575	0.575	1	0.583	0.583	1	0.208	0.208	1	0.633	0.633	1	2.250	2.250	1	0.140	0.140	1	0.467	0.467	1	0.708	0.708	1	1.017	1.017	1	0.333	0.333	1	3.000	3.000	1	4.000	4.000	1	4.000	4.000	1	2.000	2.000	1	4.000	4.000	1	12.000	12.000	1	2.000	2.000	1	3.000	3.000	1	4.000	4.000	1	3.000	3.000	1	1.000	1.000
Rec 08	male	5	0.178	0.892	7	0.149	1.042	12	0.197	2.366	-	-	-	-	-	-	3	0.178	0.533	9	0.231	2.083	1	0.117	0.117	8	0.168	1.342	10	0.180	1.802	1	0.342	0.342	1	0.892	0.892	1	1.042	1.042	1	2.366	2.366	1	0.000	0.000	1	0.000	0.000	1	0.533	0.533	1	2.083	2.083	1	0.117	0.117	1	1.342	1.342	1	1.802	1.802	1	0.342	0.342	1	5.000	5.000	1	7.000	7.000	1	12.000	12.000	-	-	-	-	-	-	1	3.000	3.000	1	9.000	9.000	1	1.000	1.000	1	8.000	8.000	1	10.000	10.000	1	1.000	1.000
Rec 09	male	1	0.300	0.300	-	-	-	2	0.137	0.275	3	0.158	0.475	-	-	-	3	0.269	0.808	3	0.175	0.525	1	0.292	0.292	3	0.139	0.417	16	0.177	2.826	4	0.192	0.767	1	0.300	0.300	1	0.000	0.000	1	0.275	0.275	1	0.475	0.475	1	0.000	0.000	1	0.808	0.808	1	0.525	0.525	1	0.292	0.292	1	0.417	0.417	1	2.826	2.826	1	0.767	0.767	1	1.000	1.000	-	-	-	1	2.000	2.000	1	3.000	3.000	-	-	-	1	3.000	3.000	1	3.000	3.000	1	1.000	1.000	1	3.000	3.000	1	16.000	16.000	1	4.000	4.000
Rec 10	female	7	0.177	1.241	11	0.140	1.542	15	0.218	3.266	8	0.151	1.208	-	-	-	21	0.148	3.116	32	0.172	5.499	10	0.185	1.850	3	0.131	0.392	5	0.170	0.850	4	0.192	0.767	1	1.241	1.241	1	1.542	1.542	1	3.266	3.266	1	1.208	1.208	1	0.000	0.000	1	3.116	3.116	1	5.499	5.499	1	1.850	1.850	1	0.392	0.392	1	0.850	0.850	1	0.767	0.767	1	7.000	7.000	1	11.000	11.000	1	15.000	15.000	1	8.000	8.000	-	-	-	1	21.000	21.000	1	32.000	32.000	1	10.000	10.000	1	3.000	3.000	1	5.000	5.000	1	4.000	4.000
Rec 11	male	5	0.153	0.767	4	0.296	1.183	4	0.131	0.525	-	-	-	13	0.124	1.616	19	0.186	3.533	16	0.153	2.456	12	0.199	2.383	10	0.144	1.441	13	0.165	2.150	3	0.139	0.417	1	0.767	0.767	1	1.183	1.183	1	0.525	0.525	1	0.000	0.000	1	1.616	1.616	1	3.533	3.533	1	2.456	2.456	1	2.383	2.383	1	1.441	1.441	1	2.150	2.150	1	0.417	0.417	1	5.000	5.000	1	4.000	4.000	1	4.000	4.000	-	-	-	1	13.000	13.000	1	19.000	19.000	1	16.000	16.000	1	12.000	12.000	1	10.000	10.000	1	13.000	13.000	1	3.000	3.000
Rec 12	female	2	0.104	0.208	3	0.156	0.467	6	0.158	0.950	-	-	-	-	-	-	6	0.110	0.658	6	0.201	1.208	5	0.160	0.800	6	0.143	0.858	14	0.209	2.925	-	-	-	1	0.208	0.208	1	0.467	0.467	1	0.950	0.950	1	0.000	0.000	1	0.000	0.000	1	0.658	0.658	1	1.208	1.208	1	0.800	0.800	1	0.858	0.858	1	2.925	2.925	1	0.000	0.000	1	2.000	2.000	1	3.000	3.000	1	6.000	6.000	-	-	-	-	-	-	1	6.000	6.000	1	6.000	6.000	1	5.000	5.000	1	6.000	6.000	1	14.000	14.000	-	-	-
Rec 13	female	3	0.142	0.425	9	0.169	1.524	5	0.190	0.950	4	0.215	0.858	1	0.125	0.125	7	0.183	1.283	4	0.179	0.717	3	0.206	0.617	8	0.157	1.256	18	0.200	3.608	3	0.153	0.458	1	0.425	0.425	1	1.524	1.524	1	0.950	0.950	1	0.858	0.858	1	0.125	0.125	1	1.283	1.283	1	0.717	0.717	1	0.617	0.617	1	1.256	1.256	1	3.608	3.608	1	0.458	0.458	1	3.000	3.000	1	9.000	9.000	1	5.000	5.000	1	4.000	4.000	1	1.000	1.000	1	7.000	7.000	1	4.000	4.000	1	3.000	3.000	1	8.000	8.000	1	18.000	18.000	1	3.000	3.000
Rec 14	male	3	0.219	0.658	3	0.192	0.575	-	-	-	-	-	-	-	-	-	1	0.242	0.242	-	-	-	1	0.283	0.283	1	0.220	0.220	11	0.236	2.600	2	0.204	0.408	1	0.658	0.658	1	0.575	0.575	1	0.000	0.000	1	0.000	0.000	1	0.000	0.000	1	0.242	0.242	1	0.000	0.000	1	0.283	0.283	1	0.220	0.220	1	2.600	2.600	1	0.408	0.408	1	3.000	3.000	1	3.000	3.000	-	-	-	-	-	-	-	-	-	1	1.000	1.000	-	-	-	1	1.000	1.000	1	1.000	1.000	1	11.000	11.000	1	2.000	2.000
Rec 15	female	11	0.192	2.117	6	0.194	1.166	4	0.173	0.691	-	-	-	-	-	-	9	0.240	2.158	3	0.158	0.475	9	0.159	1.433	9	0.209	1.883	6	0.289	1.733	-	-	-	1	2.117	2.117	1	1.166	1.166	1	0.691	0.691	1	0.000	0.000	1	0.000	0.000	1	2.158	2.158	1	0.475	0.475	1	1.433	1.433	1	1.883	1.883	1	1.733	1.733	1	0.000	0.000	1	11.000	11.000	1	6.000	6.000	1	4.000	4.000	-	-	-	-	-	-	1	9.000	9.000	1	3.000	3.000	1	9.000	9.000	1	9.000	9.000	1	6.000	6.000	-	-	-
Rec 16	male	5	0.205	1.025	-	-	-	4	0.275	1.100	10	0.205	2.050	-	-	-	13	0.162	2.100	5	0.257	1.283	8	0.223	1.783	6	0.181	1.083	15	0.252	3.783	16	0.226	3.616	1	1.025	1.025	1	0.000	0.000	1	1.100	1.100	1	2.050	2.050	1	0.000	0.000	1	2.100	2.100	1	1.283	1.283	1	1.783	1.783	1	1.083	1.083	1	3.783	3.783	1	3.616	3.616	1	5.000	5.000	-	-	-	1	4.000	4.000	1	10.000	10.000	-	-	-	1	13.000	13.000	1	5.000	5.000	1	8.000	8.000	1	6.000	6.000	1	15.000	15.000	1	16.000	16.000
Rec 17	female	7	0.194	1.358	9	0.224	2.016	10	0.234	2.341	18	0.289	5.208	-	-	-	4	0.331	1.325	5	0.243	1.217	6	0.225	1.350	5	0.298	1.491	18	0.245	4.417	3	0.228	0.683	1	1.358	1.358	1	2.016	2.016	1	2.341	2.341	1	5.208	5.208	1	0.000	0.000	1	1.325	1.325	1	1.217	1.217	1	1.350	1.350	1	1.491	1.491	1	4.417	4.417	1	0.683	0.683	1	7.000	7.000	1	9.000	9.000	1	10.000	10.000	1	18.000	18.000	-	-	-	1	4.000	4.000	1	5.000	5.000	1	6.000	6.000	1	5.000	5.000	1	18.000	18.000	1	3.000	3.000
Rec 18	female	7	0.130	0.908	6	0.189	1.133	8	0.201	1.608	-	-	-	-	-	-	19	0.182	3.458	10	0.251	2.508	8	0.211	1.691	4	0.179	0.716	20	0.228	4.557	-	-	-	1	0.908	0.908	1	1.133	1.133	1	1.608	1.608	1	0.000	0.000	1	0.000	0.000	1	3.458	3.458	1	2.508	2.508	1	1.691	1.691	1	0.716	0.716	1	4.557	4.557	1	0.000	0.000	1	7.000	7.000	1	6.000	6.000	1	8.000	8.000	-	-	-	-	-	-	1	19.000	19.000	1	10.000	10.000	1	8.000	8.000	1	4.000	4.000	1	20.000	20.000	-	-	-
