	gender	Fixation Duration_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_ad1_N	Fixation Duration_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_ad1_Mean	Fixation Duration_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_ad1_Sum	Fixation Duration_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_ad2_N	Fixation Duration_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_ad2_Mean	Fixation Duration_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_ad2_Sum	Fixation Duration_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_ad3_N	Fixation Duration_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_ad3_Mean	Fixation Duration_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_ad3_Sum	Fixation Duration_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_ad4_N	Fixation Duration_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_ad4_Mean	Fixation Duration_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_ad4_Sum	Fixation Duration_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_ad5_N	Fixation Duration_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_ad5_Mean	Fixation Duration_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_ad5_Sum	Fixation Duration_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_an1_N	Fixation Duration_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_an1_Mean	Fixation Duration_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_an1_Sum	Fixation Duration_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_an2_N	Fixation Duration_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_an2_Mean	Fixation Duration_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_an2_Sum	Fixation Duration_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_an3_N	Fixation Duration_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_an3_Mean	Fixation Duration_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_an3_Sum	Fixation Duration_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_an4_N	Fixation Duration_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_an4_Mean	Fixation Duration_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_an4_Sum	Fixation Duration_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_an5_N	Fixation Duration_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_an5_Mean	Fixation Duration_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_an5_Sum	Fixation Duration_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_an6_N	Fixation Duration_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_an6_Mean	Fixation Duration_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_an6_Sum	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_ad1_N	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_ad1_Mean	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_ad1_Sum	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_ad2_N	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_ad2_Mean	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_ad2_Sum	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_ad3_N	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_ad3_Mean	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_ad3_Sum	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_ad4_N	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_ad4_Mean	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_ad4_Sum	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_ad5_N	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_ad5_Mean	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_ad5_Sum	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_an1_N	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_an1_Mean	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_an1_Sum	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_an2_N	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_an2_Mean	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_an2_Sum	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_an3_N	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_an3_Mean	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_an3_Sum	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_an4_N	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_an4_Mean	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_an4_Sum	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_an5_N	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_an5_Mean	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_an5_Sum	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_an6_N	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_an6_Mean	Total Fixation Duration (Include Zeros)_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_an6_Sum	Fixation Count_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_ad1_N	Fixation Count_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_ad1_Mean	Fixation Count_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_ad1_Sum	Fixation Count_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_ad2_N	Fixation Count_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_ad2_Mean	Fixation Count_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_ad2_Sum	Fixation Count_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_ad3_N	Fixation Count_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_ad3_Mean	Fixation Count_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_ad3_Sum	Fixation Count_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_ad4_N	Fixation Count_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_ad4_Mean	Fixation Count_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_ad4_Sum	Fixation Count_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_ad5_N	Fixation Count_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_ad5_Mean	Fixation Count_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_ad5_Sum	Fixation Count_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_an1_N	Fixation Count_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_an1_Mean	Fixation Count_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_an1_Sum	Fixation Count_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_an2_N	Fixation Count_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_an2_Mean	Fixation Count_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_an2_Sum	Fixation Count_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_an3_N	Fixation Count_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_an3_Mean	Fixation Count_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_an3_Sum	Fixation Count_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_an4_N	Fixation Count_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_an4_Mean	Fixation Count_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_an4_Sum	Fixation Count_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_an5_N	Fixation Count_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_an5_Mean	Fixation Count_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_an5_Sum	Fixation Count_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_an6_N	Fixation Count_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_an6_Mean	Fixation Count_file:///C:/Users/SYSUD202/Desktop/Test2/美甲流行色.html (CRC)_an6_Sum
Rec 02	male	21	0.171	3.591	4	0.246	0.983	2	0.158	0.317	-	-	-	-	-	-	2	0.113	0.225	-	-	-	23	0.141	3.241	-	-	-	-	-	-	-	-	-	1	3.591	3.591	1	0.983	0.983	1	0.317	0.317	1	0.000	0.000	1	0.000	0.000	1	0.225	0.225	1	0.000	0.000	1	3.241	3.241	1	0.000	0.000	1	0.000	0.000	1	0.000	0.000	1	21.000	21.000	1	4.000	4.000	1	2.000	2.000	-	-	-	-	-	-	1	2.000	2.000	-	-	-	1	23.000	23.000	-	-	-	-	-	-	-	-	-
Rec 03	female	9	0.208	1.875	7	0.221	1.550	4	0.219	0.875	-	-	-	-	-	-	2	0.533	1.066	3	0.147	0.442	9	0.212	1.908	2	0.312	0.625	-	-	-	-	-	-	1	1.875	1.875	1	1.550	1.550	1	0.875	0.875	1	0.000	0.000	1	0.000	0.000	1	1.066	1.066	1	0.442	0.442	1	1.908	1.908	1	0.625	0.625	1	0.000	0.000	1	0.000	0.000	1	9.000	9.000	1	7.000	7.000	1	4.000	4.000	-	-	-	-	-	-	1	2.000	2.000	1	3.000	3.000	1	9.000	9.000	1	2.000	2.000	-	-	-	-	-	-
Rec 04	male	1	0.175	0.175	3	0.178	0.533	3	0.168	0.505	-	-	-	3	0.297	0.892	16	0.143	2.291	10	0.235	2.353	21	0.178	3.733	4	0.173	0.692	1	0.183	0.183	-	-	-	1	0.175	0.175	1	0.533	0.533	1	0.505	0.505	1	0.000	0.000	1	0.892	0.892	1	2.291	2.291	1	2.353	2.353	1	3.733	3.733	1	0.692	0.692	1	0.183	0.183	1	0.000	0.000	1	1.000	1.000	1	3.000	3.000	1	3.000	3.000	-	-	-	1	3.000	3.000	1	16.000	16.000	1	10.000	10.000	1	21.000	21.000	1	4.000	4.000	1	1.000	1.000	-	-	-
Rec 05	female	6	0.129	0.775	4	0.165	0.658	1	0.100	0.100	5	0.287	1.433	-	-	-	7	0.140	0.983	5	0.137	0.684	16	0.151	2.423	6	0.154	0.925	3	0.192	0.575	1	0.258	0.258	1	0.775	0.775	1	0.658	0.658	1	0.100	0.100	1	1.433	1.433	1	0.000	0.000	1	0.983	0.983	1	0.684	0.684	1	2.423	2.423	1	0.925	0.925	1	0.575	0.575	1	0.258	0.258	1	6.000	6.000	1	4.000	4.000	1	1.000	1.000	1	5.000	5.000	-	-	-	1	7.000	7.000	1	5.000	5.000	1	16.000	16.000	1	6.000	6.000	1	3.000	3.000	1	1.000	1.000
Rec 06	male	6	0.131	0.783	5	0.192	0.958	3	0.122	0.367	-	-	-	-	-	-	3	0.108	0.325	1	0.117	0.117	21	0.174	3.658	3	0.114	0.342	-	-	-	-	-	-	1	0.783	0.783	1	0.958	0.958	1	0.367	0.367	1	0.000	0.000	1	0.000	0.000	1	0.325	0.325	1	0.117	0.117	1	3.658	3.658	1	0.342	0.342	1	0.000	0.000	1	0.000	0.000	1	6.000	6.000	1	5.000	5.000	1	3.000	3.000	-	-	-	-	-	-	1	3.000	3.000	1	1.000	1.000	1	21.000	21.000	1	3.000	3.000	-	-	-	-	-	-
Rec 07	male	8	0.199	1.591	5	0.102	0.508	2	0.279	0.558	-	-	-	6	0.144	0.867	7	0.139	0.975	6	0.210	1.258	14	0.153	2.142	3	0.144	0.433	1	0.200	0.200	-	-	-	1	1.591	1.591	1	0.508	0.508	1	0.558	0.558	1	0.000	0.000	1	0.867	0.867	1	0.975	0.975	1	1.258	1.258	1	2.142	2.142	1	0.433	0.433	1	0.200	0.200	1	0.000	0.000	1	8.000	8.000	1	5.000	5.000	1	2.000	2.000	-	-	-	1	6.000	6.000	1	7.000	7.000	1	6.000	6.000	1	14.000	14.000	1	3.000	3.000	1	1.000	1.000	-	-	-
Rec 08	male	74	0.184	13.634	17	0.156	2.649	5	0.187	0.933	-	-	-	-	-	-	9	0.157	1.416	13	0.177	2.300	55	0.167	9.158	2	0.075	0.150	-	-	-	-	-	-	1	13.634	13.634	1	2.649	2.649	1	0.933	0.933	1	0.000	0.000	1	0.000	0.000	1	1.416	1.416	1	2.300	2.300	1	9.158	9.158	1	0.150	0.150	1	0.000	0.000	1	0.000	0.000	1	74.000	74.000	1	17.000	17.000	1	5.000	5.000	-	-	-	-	-	-	1	9.000	9.000	1	13.000	13.000	1	55.000	55.000	1	2.000	2.000	-	-	-	-	-	-
Rec 09	male	12	0.253	3.041	6	0.126	0.758	2	0.221	0.442	12	0.195	2.341	-	-	-	7	0.188	1.316	9	0.200	1.800	19	0.191	3.621	9	0.143	1.283	4	0.221	0.883	2	0.187	0.375	1	3.041	3.041	1	0.758	0.758	1	0.442	0.442	1	2.341	2.341	1	0.000	0.000	1	1.316	1.316	1	1.800	1.800	1	3.621	3.621	1	1.283	1.283	1	0.883	0.883	1	0.375	0.375	1	12.000	12.000	1	6.000	6.000	1	2.000	2.000	1	12.000	12.000	-	-	-	1	7.000	7.000	1	9.000	9.000	1	19.000	19.000	1	9.000	9.000	1	4.000	4.000	1	2.000	2.000
Rec 10	female	68	0.144	9.783	21	0.156	3.266	11	0.195	2.150	9	0.201	1.808	-	-	-	21	0.147	3.091	6	0.242	1.450	28	0.171	4.793	14	0.142	1.983	8	0.195	1.558	4	0.173	0.692	1	9.783	9.783	1	3.266	3.266	1	2.150	2.150	1	1.808	1.808	1	0.000	0.000	1	3.091	3.091	1	1.450	1.450	1	4.793	4.793	1	1.983	1.983	1	1.558	1.558	1	0.692	0.692	1	68.000	68.000	1	21.000	21.000	1	11.000	11.000	1	9.000	9.000	-	-	-	1	21.000	21.000	1	6.000	6.000	1	28.000	28.000	1	14.000	14.000	1	8.000	8.000	1	4.000	4.000
Rec 11	male	54	0.168	9.045	18	0.155	2.791	8	0.175	1.400	4	0.146	0.583	7	0.102	0.717	27	0.156	4.199	14	0.147	2.057	28	0.158	4.431	6	0.144	0.866	1	0.242	0.242	2	0.129	0.258	1	9.045	9.045	1	2.791	2.791	1	1.400	1.400	1	0.583	0.583	1	0.717	0.717	1	4.199	4.199	1	2.057	2.057	1	4.431	4.431	1	0.866	0.866	1	0.242	0.242	1	0.258	0.258	1	54.000	54.000	1	18.000	18.000	1	8.000	8.000	1	4.000	4.000	1	7.000	7.000	1	27.000	27.000	1	14.000	14.000	1	28.000	28.000	1	6.000	6.000	1	1.000	1.000	1	2.000	2.000
Rec 12	female	15	0.131	1.958	11	0.154	1.691	9	0.165	1.483	5	0.177	0.883	-	-	-	8	0.112	0.900	6	0.175	1.050	22	0.134	2.942	18	0.154	2.766	3	0.264	0.792	4	0.123	0.492	1	1.958	1.958	1	1.691	1.691	1	1.483	1.483	1	0.883	0.883	1	0.000	0.000	1	0.900	0.900	1	1.050	1.050	1	2.942	2.942	1	2.766	2.766	1	0.792	0.792	1	0.492	0.492	1	15.000	15.000	1	11.000	11.000	1	9.000	9.000	1	5.000	5.000	-	-	-	1	8.000	8.000	1	6.000	6.000	1	22.000	22.000	1	18.000	18.000	1	3.000	3.000	1	4.000	4.000
Rec 13	female	3	0.111	0.333	4	0.154	0.617	2	0.133	0.267	-	-	-	3	0.083	0.250	3	0.209	0.626	4	0.079	0.317	20	0.175	3.500	1	0.175	0.175	2	0.142	0.283	-	-	-	1	0.333	0.333	1	0.617	0.617	1	0.267	0.267	1	0.000	0.000	1	0.250	0.250	1	0.626	0.626	1	0.317	0.317	1	3.500	3.500	1	0.175	0.175	1	0.283	0.283	1	0.000	0.000	1	3.000	3.000	1	4.000	4.000	1	2.000	2.000	-	-	-	1	3.000	3.000	1	3.000	3.000	1	4.000	4.000	1	20.000	20.000	1	1.000	1.000	1	2.000	2.000	-	-	-
Rec 14	male	13	0.197	2.566	3	0.294	0.883	-	-	-	-	-	-	-	-	-	-	-	-	1	0.267	0.267	23	0.229	5.266	-	-	-	-	-	-	-	-	-	1	2.566	2.566	1	0.883	0.883	1	0.000	0.000	1	0.000	0.000	1	0.000	0.000	1	0.000	0.000	1	0.267	0.267	1	5.266	5.266	1	0.000	0.000	1	0.000	0.000	1	0.000	0.000	1	13.000	13.000	1	3.000	3.000	-	-	-	-	-	-	-	-	-	-	-	-	1	1.000	1.000	1	23.000	23.000	-	-	-	-	-	-	-	-	-
Rec 15	female	20	0.167	3.341	8	0.139	1.115	2	0.179	0.358	-	-	-	-	-	-	6	0.168	1.008	1	0.192	0.192	16	0.228	3.650	1	0.183	0.183	-	-	-	-	-	-	1	3.341	3.341	1	1.115	1.115	1	0.358	0.358	1	0.000	0.000	1	0.000	0.000	1	1.008	1.008	1	0.192	0.192	1	3.650	3.650	1	0.183	0.183	1	0.000	0.000	1	0.000	0.000	1	20.000	20.000	1	8.000	8.000	1	2.000	2.000	-	-	-	-	-	-	1	6.000	6.000	1	1.000	1.000	1	16.000	16.000	1	1.000	1.000	-	-	-	-	-	-
Rec 16	male	13	0.235	3.058	3	0.183	0.550	1	0.233	0.233	-	-	-	-	-	-	7	0.218	1.525	2	0.133	0.267	33	0.236	7.774	5	0.210	1.050	2	0.208	0.417	-	-	-	1	3.058	3.058	1	0.550	0.550	1	0.233	0.233	1	0.000	0.000	1	0.000	0.000	1	1.525	1.525	1	0.267	0.267	1	7.774	7.774	1	1.050	1.050	1	0.417	0.417	1	0.000	0.000	1	13.000	13.000	1	3.000	3.000	1	1.000	1.000	-	-	-	-	-	-	1	7.000	7.000	1	2.000	2.000	1	33.000	33.000	1	5.000	5.000	1	2.000	2.000	-	-	-
Rec 17	female	12	0.182	2.188	9	0.192	1.725	3	0.267	0.800	2	0.233	0.467	-	-	-	4	0.175	0.700	2	0.262	0.525	18	0.241	4.333	4	0.202	0.808	-	-	-	1	0.217	0.217	1	2.188	2.188	1	1.725	1.725	1	0.800	0.800	1	0.467	0.467	1	0.000	0.000	1	0.700	0.700	1	0.525	0.525	1	4.333	4.333	1	0.808	0.808	1	0.000	0.000	1	0.217	0.217	1	12.000	12.000	1	9.000	9.000	1	3.000	3.000	1	2.000	2.000	-	-	-	1	4.000	4.000	1	2.000	2.000	1	18.000	18.000	1	4.000	4.000	-	-	-	1	1.000	1.000
Rec 18	female	24	0.214	5.124	10	0.150	1.500	11	0.155	1.708	-	-	-	-	-	-	13	0.160	2.075	6	0.128	0.766	10	0.217	2.166	14	0.177	2.483	-	-	-	-	-	-	1	5.124	5.124	1	1.500	1.500	1	1.708	1.708	1	0.000	0.000	1	0.000	0.000	1	2.075	2.075	1	0.766	0.766	1	2.166	2.166	1	2.483	2.483	1	0.000	0.000	1	0.000	0.000	1	24.000	24.000	1	10.000	10.000	1	11.000	11.000	-	-	-	-	-	-	1	13.000	13.000	1	6.000	6.000	1	10.000	10.000	1	14.000	14.000	-	-	-	-	-	-
